row_id,time_of_day_hr,visibility_m,rain_intensity_mmhr,road_wetness_pct,noise_level_db,ambient_temperature_c,humidity_pct,camera_exposure_score,camera_focus_score,lane_marking_visibility_pct,signal_wait_time_s
EVT_00230,7.37,1122.5,15.78,63.5,54.6,21.1,85.8,63.9,87.6,74.0,
EVT_01757,20.49,1033.4,0.0,7.2,48.0,25.0,72.1,0.0,90.1,78.7,60.0
EVT_00141,14.26,2091.1,0.0,7.8,51.7,27.1,65.5,55.7,82.7,98.0,32.0
EVT_00304,20.07,1010.8,0.0,13.9,39.4,27.5,65.8,1.3,89.7,76.0,33.0
EVT_00478,7.19,2823.4,0.0,6.5,55.2,25.1,56.4,36.8,80.6,100.0,41.0
EVT_01825,13.18,2296.0,0.0,7.1,56.4,34.9,53.7,78.8,78.1,73.4,82.0
EVT_00011,19.62,1102.5,0.0,1.0,62.8,31.1,63.0,7.8,82.5,88.3,66.0
EVT_01943,8.28,2196.0,0.0,15.7,54.1,26.6,65.1,53.2,83.9,67.4,0.0
EVT_00201,7.58,2231.4,0.0,8.0,51.1,23.1,72.5,62.3,81.0,84.4,23.0
EVT_00469,23.91,909.7,0.0,6.0,46.7,22.0,55.8,16.8,90.3,90.5,9.0
EVT_01082,9.36,2538.8,0.0,2.0,62.0,27.8,77.5,71.0,90.3,83.3,23.0
EVT_01242,7.01,2424.5,0.0,3.6,61.9,30.7,59.0,46.5,80.0,100.0,21.0
EVT_00445,18.61,2089.6,0.0,11.3,56.3,30.2,59.3,0.0,77.5,89.0,13.0
EVT_00086,2.89,1104.9,2.27,27.1,55.8,23.6,59.6,23.7,87.9,89.9,26.0
EVT_01026,7.21,2268.7,0.0,11.6,42.3,26.8,62.2,54.4,97.0,81.9,0.0
EVT_00917,1.03,486.2,12.8,59.3,50.3,17.8,100.0,13.7,86.7,75.2,17.0
EVT_00895,6.53,1834.5,0.0,3.5,57.5,22.6,63.0,48.5,95.8,85.5,40.0
EVT_00372,10.13,2561.0,0.0,0.4,52.0,28.9,63.2,65.8,69.4,95.9,38.0
EVT_01104,23.19,1312.1,0.0,22.6,48.0,24.4,83.0,25.9,75.2,92.4,14.0
EVT_00355,7.19,1870.7,4.61,52.2,60.4,21.8,83.0,22.1,84.2,75.0,0.0
EVT_01649,22.24,915.5,0.0,7.3,54.4,29.4,69.9,6.3,98.0,73.5,41.0
EVT_00479,12.57,2238.8,0.1,28.6,55.0,32.8,,88.5,68.2,83.7,9.0
EVT_00794,20.96,719.4,0.0,8.4,61.6,,70.5,10.8,86.2,73.6,110.0
EVT_01200,20.95,,0.0,8.4,,27.7,63.4,15.5,96.6,97.4,51.0
EVT_00349,11.68,1729.5,1.18,30.6,59.3,31.9,54.4,100.0,80.3,86.0,10.0
EVT_00767,7.44,2353.9,0.0,4.0,67.8,22.8,70.9,54.9,90.1,91.1,64.0
EVT_01417,18.67,2093.1,3.42,53.7,63.5,30.2,72.0,30.4,95.6,89.6,92.0
EVT_01009,7.98,2270.9,4.45,47.9,50.4,23.8,61.4,43.9,94.4,75.5,61.0
EVT_00937,6.55,1553.4,9.06,49.3,78.7,12.7,87.6,35.8,82.1,81.1,45.0
EVT_00820,9.69,1943.4,0.0,17.9,53.0,22.8,56.8,81.2,83.9,86.3,36.0
EVT_00185,12.46,1685.6,0.0,13.5,55.4,36.8,,85.8,85.8,97.9,37.0
EVT_00274,13.91,1971.9,0.58,19.7,53.4,28.5,64.3,72.7,94.2,86.8,15.0
EVT_00902,6.14,1065.7,2.76,33.3,48.7,21.0,74.6,44.2,86.5,94.4,54.0
EVT_00048,20.32,874.2,6.85,70.3,65.6,28.4,73.0,19.5,85.1,60.6,107.0
EVT_00666,5.79,914.8,0.1,23.1,44.1,26.1,74.6,31.4,91.1,72.3,7.0
EVT_00213,17.78,2031.2,0.0,6.5,62.6,30.1,56.8,48.8,89.5,92.4,129.0
EVT_01433,9.57,2162.6,0.0,7.0,55.7,26.8,59.1,70.7,82.9,69.2,87.0
EVT_01006,18.74,2063.5,0.0,2.9,65.8,35.5,52.5,13.1,76.6,98.4,51.0
EVT_01930,22.72,,0.39,37.3,48.2,18.0,49.7,0.0,81.3,92.7,47.0
EVT_01481,16.86,2193.0,0.47,34.4,61.5,29.5,68.3,40.6,100.0,87.9,32.0
EVT_01827,5.24,1520.2,0.0,3.0,52.2,21.4,68.4,17.7,83.8,68.7,0.0
EVT_00775,17.35,896.1,,49.5,58.1,30.0,71.6,53.1,92.0,68.5,79.0
EVT_00327,18.05,2364.0,0.0,2.9,64.3,28.3,60.4,19.8,84.7,77.4,26.0
EVT_00381,18.49,2213.9,0.0,,47.7,31.0,59.5,20.1,84.1,100.0,7.0
EVT_00291,16.25,2572.7,0.0,0.0,50.9,35.5,59.0,54.5,86.1,69.3,82.0
EVT_01726,9.57,1667.7,1.5,30.0,57.2,24.0,74.5,83.6,74.3,73.1,23.0
EVT_D0020,9.0,2260.8,0.0,1.1,60.7,22.3,64.0,74.93,81.5,83.0,62.0
EVT_00778,23.63,890.6,0.0,0.1,51.8,21.2,58.1,0.0,91.2,83.3,18.0
EVT_01257,23.77,583.2,0.0,2.7,49.2,21.6,59.8,9.7,83.8,89.9,7.0
EVT_01814,23.99,851.2,0.0,6.2,53.2,15.5,62.9,,95.1,93.0,12.0
EVT_01820,16.2,2322.5,0.0,0.4,64.7,28.3,55.0,57.9,85.1,100.0,5.0
EVT_01110,15.89,1951.7,2.91,44.7,43.3,27.6,77.8,58.4,90.8,89.5,37.0
EVT_01950,19.3,983.8,0.0,40.6,43.2,31.3,67.1,0.2,90.5,89.3,98.0
EVT_00060,20.54,434.9,2.58,55.1,59.4,23.0,85.2,17.1,92.3,77.1,19.0
EVT_00030,7.78,1582.8,12.37,83.0,62.1,21.5,82.1,37.6,87.3,71.3,61.0
EVT_01019,21.46,700.1,0.0,3.1,53.8,28.6,60.1,15.6,98.3,59.1,17.0
EVT_01934,5.25,1448.5,0.0,4.0,53.5,22.3,72.7,13.9,86.4,85.4,82.0
EVT_00621,22.85,1812.2,0.0,2.5,48.6,24.5,65.8,25.5,92.5,89.9,9.0
EVT_00785,15.01,2587.2,0.0,21.7,49.3,32.7,60.7,56.4,65.7,100.0,36.0
EVT_01269,1.11,1027.6,0.0,2.0,51.5,15.4,71.1,16.7,82.9,75.0,7.0
EVT_01657,9.21,2054.9,0.0,7.0,65.3,29.3,56.9,69.5,85.6,89.9,96.0
EVT_00931,7.11,2135.7,,12.7,59.2,24.7,61.3,36.3,77.1,89.3,
EVT_00235,5.41,864.3,0.0,16.2,61.8,20.4,77.2,4.1,90.3,95.0,77.0
EVT_01083,8.69,2113.8,0.0,13.1,44.0,26.6,53.2,66.2,84.9,75.9,39.0
EVT_01863,15.33,2442.9,0.0,1.8,56.0,33.0,57.3,76.0,75.3,100.0,26.0
EVT_00262,14.69,2465.5,0.0,7.2,57.6,35.1,52.4,79.2,84.1,100.0,14.0
EVT_00957,13.56,2060.0,8.23,30.9,63.0,34.0,67.8,67.4,76.6,69.9,8.0
EVT_00795,2.4,1413.7,0.3,38.1,47.2,20.1,77.6,22.3,84.2,82.6,4.0
EVT_00413,7.4,1912.7,0.0,0.9,44.5,24.1,51.9,41.4,79.2,100.0,46.0
EVT_01175,14.41,2186.1,0.0,3.6,52.7,29.1,66.0,70.2,86.2,93.1,66.0
EVT_00259,18.47,2512.2,1.73,10.5,67.8,32.8,63.1,43.3,77.2,86.0,71.0
EVT_00131,1.79,1092.8,1.83,46.3,49.3,19.6,83.7,27.0,77.1,78.5,13.0
EVT_01298,18.54,1666.2,2.34,41.0,60.8,32.1,69.6,14.6,71.8,84.7,
EVT_01121,7.95,1407.6,0.0,6.8,53.5,25.7,60.4,76.5,100.0,87.3,83.0
EVT_01705,9.15,2012.6,0.1,27.5,48.3,30.6,67.4,57.1,100.0,74.4,27.0
EVT_00197,16.05,1288.8,,71.7,66.3,27.8,76.5,37.3,89.1,57.9,27.0
EVT_01787,9.15,2169.7,0.0,9.8,56.8,29.0,60.2,69.6,100.0,95.2,52.0
EVT_01501,1.46,1009.7,0.4,29.5,55.9,18.1,72.6,15.1,86.7,89.1,13.0
EVT_01711,15.91,2601.5,1.52,41.1,58.2,32.6,48.3,57.7,85.4,72.4,74.0
EVT_00986,6.88,1957.9,2.5,58.7,62.5,19.4,57.9,50.8,72.0,89.2,9.0
EVT_00507,8.17,2610.0,0.0,6.7,48.7,22.5,59.3,58.1,84.7,86.3,55.0
EVT_00130,21.54,1055.4,2.3,46.4,53.7,20.3,62.2,25.4,100.0,89.4,3.0
EVT_01486,22.05,796.0,0.0,8.5,43.6,26.7,60.1,6.1,92.2,83.7,17.0
EVT_00497,16.73,2630.1,0.0,0.2,59.9,34.0,61.9,64.8,71.6,99.5,1.0
EVT_00326,10.5,2332.2,0.46,37.7,65.6,23.4,65.7,59.7,97.4,95.2,51.0
EVT_01744,5.26,1081.0,0.0,21.1,54.5,17.7,63.1,2.5,84.3,78.6,
EVT_01848,16.97,2264.4,0.0,7.9,48.7,33.3,65.9,39.8,87.2,96.3,62.0
EVT_00182,5.17,632.9,0.0,1.2,54.5,20.2,82.5,21.1,77.1,87.5,30.0
EVT_00537,12.41,2072.9,0.0,11.5,44.4,32.6,51.3,82.5,83.5,100.0,29.0
EVT_01842,16.87,1862.0,0.0,1.9,47.4,26.5,58.5,48.8,87.2,100.0,47.0
EVT_00112,15.69,1097.3,7.4,51.3,59.0,33.1,78.8,66.2,75.9,74.2,16.0
EVT_01107,17.97,2335.0,0.0,7.8,68.1,,67.7,38.7,100.0,96.0,41.0
EVT_00969,11.23,2409.3,0.0,10.7,59.7,30.1,51.8,92.3,91.7,99.9,12.0
EVT_01353,4.88,801.6,4.49,45.4,55.5,25.1,75.7,13.1,87.0,56.9,0.0
EVT_01633,12.73,2656.7,0.0,23.9,60.3,31.7,74.4,79.2,92.1,93.1,44.0
EVT_00554,8.06,2175.2,1.26,32.3,57.0,22.8,83.3,72.7,79.9,84.2,0.0
EVT_00119,15.55,2345.4,0.0,9.4,54.8,32.7,66.1,63.3,99.3,92.8,44.0
EVT_01579,7.98,1914.7,,31.4,51.5,25.6,68.3,45.4,85.1,76.2,54.0
EVT_00894,16.14,926.8,18.92,93.3,68.1,37.4,100.0,38.7,82.4,56.2,48.0
EVT_00996,13.47,2081.8,0.0,1.2,42.9,34.5,60.7,76.7,100.0,100.0,14.0
EVT_00518,13.42,1833.0,7.15,36.5,69.6,34.7,68.5,84.0,91.8,68.8,73.0
EVT_01758,11.51,2212.9,1.61,37.7,59.9,36.0,62.6,82.2,96.1,76.2,25.0
EVT_00039,8.94,1932.0,4.84,54.7,59.9,27.1,56.4,60.5,69.6,79.2,69.0
EVT_01670,18.97,1452.0,11.96,75.8,58.0,26.4,88.9,39.3,86.7,59.8,0.0
EVT_01923,23.27,1204.6,0.0,0.9,47.6,22.1,80.4,42.8,88.9,82.4,13.0
EVT_00177,12.66,1715.6,3.93,,56.5,37.4,49.0,77.4,86.0,71.9,17.0
EVT_01881,16.4,2110.5,0.0,20.0,54.7,24.0,67.2,62.4,80.9,80.2,57.0
EVT_01047,17.83,2139.9,0.0,0.7,45.4,32.6,58.3,36.7,79.7,88.9,10.0
EVT_00531,16.28,2002.1,3.83,57.9,59.1,29.8,69.2,74.5,85.1,91.9,54.0
EVT_01891,20.75,1251.3,0.59,46.7,52.5,30.3,66.2,25.6,86.0,87.0,50.0
EVT_01165,23.93,1124.1,0.39,25.8,41.6,25.7,61.5,23.0,89.3,86.0,1.0
EVT_01791,9.75,1967.0,0.0,10.7,,28.7,61.4,96.5,96.5,96.3,87.0
EVT_01909,7.71,1597.7,1.24,28.5,59.7,23.2,52.9,49.1,84.5,86.8,97.0
EVT_01409,18.4,1640.3,0.0,,65.3,31.8,51.3,23.2,92.6,100.0,17.0
EVT_01122,7.3,2715.8,0.0,2.8,68.8,25.4,70.2,45.6,86.8,100.0,10.0
EVT_00436,6.52,2592.5,0.0,0.7,54.8,20.0,64.7,32.2,93.9,86.1,14.0
EVT_01188,5.06,1214.0,2.49,42.1,58.1,23.8,67.8,25.7,93.7,86.8,19.0
EVT_00514,23.63,605.2,4.51,37.4,60.4,14.6,67.2,8.9,93.0,83.6,0.0
EVT_01374,18.61,1915.8,4.16,67.3,55.9,30.4,66.7,38.4,81.9,71.5,2.0
EVT_00690,13.13,2006.2,0.0,3.1,58.8,39.1,60.8,69.6,85.3,93.2,34.0
EVT_00092,13.39,1195.5,13.13,70.8,64.4,22.9,75.1,92.0,93.7,61.8,31.0
EVT_01463,21.82,713.1,13.36,59.6,60.2,24.2,79.8,49.8,89.4,64.9,27.0
EVT_01472,17.33,1530.3,6.13,32.8,,27.3,59.5,53.9,85.3,77.5,55.0
EVT_01998,4.17,788.7,4.76,35.8,,16.7,78.9,5.6,84.4,84.5,67.0
EVT_00525,8.7,2421.4,0.0,22.3,63.7,26.6,64.4,51.8,91.5,82.6,19.0
EVT_00847,16.53,2155.1,0.0,,58.6,27.7,65.3,71.2,78.7,92.8,63.0
EVT_00974,21.77,588.2,1.02,22.9,44.6,27.0,66.5,27.1,79.7,69.8,1.0
EVT_00660,23.12,750.6,0.0,24.0,66.3,18.8,70.6,23.0,91.0,100.0,27.0
EVT_01099,12.8,2105.9,1.17,37.6,62.2,29.4,64.4,65.0,78.3,93.9,84.0
EVT_00088,6.28,2331.0,3.35,56.3,61.2,28.4,71.2,45.4,88.0,87.8,0.0
EVT_01144,16.81,1877.4,5.7,27.8,57.9,31.5,59.2,57.7,78.0,70.1,22.0
EVT_01970,18.04,1806.2,0.0,21.9,47.5,37.4,50.2,16.4,88.4,92.4,98.0
EVT_01078,21.82,415.1,17.76,76.1,73.8,20.4,90.6,,72.0,63.8,86.0
EVT_01391,7.67,2361.5,0.0,2.1,47.8,24.7,66.8,61.2,93.2,94.7,87.0
EVT_00933,20.27,1227.6,0.0,2.9,59.5,25.5,52.3,7.3,96.9,87.0,91.0
EVT_00882,9.64,1713.1,0.0,12.5,69.2,28.4,69.4,80.5,76.4,96.6,35.0
EVT_00219,20.67,472.3,3.39,48.3,64.9,25.0,81.6,20.3,84.4,80.7,74.0
EVT_01525,21.74,1068.5,0.0,5.3,56.2,28.0,53.9,35.8,92.2,75.7,24.0
EVT_00521,18.67,2087.8,1.91,50.0,50.7,28.8,71.5,30.1,88.3,81.4,59.0
EVT_01055,8.59,1758.4,0.0,12.5,55.5,28.4,55.2,49.8,85.1,89.8,79.0
EVT_01478,22.24,708.0,0.0,,61.0,20.4,72.2,26.5,100.0,100.0,18.0
EVT_00912,6.8,2716.5,0.0,5.1,55.8,24.9,57.7,49.3,100.0,90.0,70.0
EVT_00097,12.53,1656.2,8.12,57.8,63.8,27.6,60.2,91.1,94.3,89.6,15.0
EVT_01546,5.62,905.4,0.0,0.3,46.4,24.1,65.4,16.4,73.2,85.5,20.0
EVT_01446,7.21,,2.27,20.4,56.1,30.0,72.0,41.3,78.0,89.9,11.0
EVT_01803,18.87,2059.4,0.0,12.3,60.3,28.4,73.9,13.9,83.4,76.5,34.0
EVT_00639,22.93,875.3,0.0,13.6,59.1,20.2,63.3,0.2,81.6,69.9,9.0
EVT_00642,14.21,2500.4,0.0,2.6,55.8,33.2,49.9,73.9,87.1,99.6,44.0
EVT_01348,1.79,1189.9,0.0,9.9,52.6,25.3,56.9,22.5,86.2,70.1,33.0
EVT_01337,16.24,1779.6,4.96,48.6,63.8,24.3,73.3,74.0,77.9,80.7,9.0
EVT_00663,1.91,1226.0,0.0,21.9,42.0,22.7,70.2,22.2,92.1,76.3,0.0
EVT_01278,13.06,2237.0,0.0,4.6,57.2,34.5,60.3,60.7,83.9,95.4,31.0
EVT_01895,23.91,1057.9,0.0,14.3,61.6,20.0,66.1,22.1,80.9,92.8,34.0
EVT_00561,8.74,1987.7,0.0,27.9,53.7,25.4,63.8,57.6,88.2,92.8,18.0
EVT_01617,1.19,1279.9,0.0,8.3,46.4,24.8,62.0,28.8,84.1,96.6,10.0
EVT_01597,18.63,1992.6,0.0,5.5,61.5,32.5,70.6,18.8,95.1,100.0,53.0
EVT_01532,0.43,958.1,0.0,13.8,46.0,24.1,67.7,5.9,91.0,100.0,0.0
EVT_01648,2.88,770.6,3.92,29.6,56.6,17.8,85.3,26.8,87.5,85.9,26.0
EVT_00584,18.32,1659.5,6.76,49.4,60.3,21.0,87.5,,88.0,71.6,2.0
EVT_01340,20.62,636.4,10.91,65.6,,23.6,95.6,23.0,79.9,48.5,21.0
EVT_01162,20.21,1024.8,0.0,7.8,55.9,22.8,64.5,2.8,83.2,98.3,88.0
EVT_00246,1.65,1087.7,0.0,13.9,48.2,25.7,67.0,12.2,85.1,88.6,13.0
EVT_01057,15.73,1721.8,0.0,16.8,54.3,37.1,80.2,61.4,88.5,95.1,14.0
EVT_00620,8.26,1917.8,0.0,13.3,48.1,25.9,72.2,76.2,87.9,99.9,94.0
EVT_00717,15.8,2044.1,0.0,0.4,53.0,35.1,62.2,62.3,89.8,96.5,18.0
EVT_00505,13.62,2448.8,0.0,12.1,51.2,31.3,54.3,100.0,84.0,91.1,4.0
EVT_00188,9.06,2316.4,0.0,9.0,46.7,30.0,67.4,79.5,85.6,100.0,19.0
EVT_01093,7.82,1610.5,2.44,49.6,60.4,25.1,78.1,45.9,79.8,67.3,32.0
EVT_00577,10.94,2353.9,0.0,4.9,58.9,24.9,60.9,84.9,87.6,94.8,31.0
EVT_00927,18.95,2464.6,0.0,21.7,57.7,23.6,62.1,17.5,87.2,88.9,28.0
EVT_00450,21.96,906.3,10.36,78.7,58.2,16.5,98.3,17.3,78.0,53.4,39.0
EVT_01371,12.44,2489.3,0.0,9.8,51.5,31.1,41.9,86.8,81.0,88.1,72.0
EVT_00759,8.15,2544.1,0.0,8.9,50.9,18.4,70.7,53.9,80.6,81.4,52.0
EVT_00596,11.56,1879.5,5.93,41.6,65.9,28.3,68.0,77.0,79.6,88.0,75.0
EVT_00383,10.44,2030.8,0.0,5.6,47.6,25.1,64.3,63.2,98.6,91.5,74.0
EVT_00510,11.62,1939.3,0.0,4.3,67.3,26.9,58.1,86.0,90.6,97.8,28.0
EVT_01999,9.6,2021.2,0.0,3.4,54.8,31.2,66.0,60.0,82.4,84.2,71.0
EVT_01168,10.11,1752.9,6.98,46.4,58.3,32.3,88.3,67.5,79.2,73.9,56.0
EVT_01599,18.82,2144.3,,0.8,62.0,29.6,76.2,16.8,71.1,94.5,31.0
EVT_01719,21.0,832.9,10.94,62.4,60.7,24.2,,25.7,79.4,57.2,23.0
EVT_00412,8.75,2447.6,2.83,50.7,62.1,20.3,70.3,65.2,79.3,85.5,28.0
EVT_00966,20.64,860.3,1.65,16.9,43.9,24.3,70.1,38.4,99.9,78.4,90.0
EVT_01040,10.12,1475.9,1.28,25.4,49.4,25.4,60.9,74.4,86.8,76.6,26.0
EVT_01507,18.08,2146.7,0.0,0.9,56.3,32.4,41.5,26.9,91.6,100.0,60.0
EVT_01797,17.75,,0.0,6.0,57.1,28.5,51.5,29.9,76.6,100.0,91.0
EVT_00122,16.9,2142.0,4.41,41.0,58.7,32.1,56.8,44.2,97.3,71.3,34.0
EVT_01995,19.82,802.2,0.19,20.2,49.6,29.2,64.0,17.2,82.3,78.7,29.0
EVT_00732,1.65,553.4,7.71,41.9,51.9,21.1,76.8,10.8,82.5,74.8,53.0
EVT_00655,23.72,1239.6,0.0,44.1,54.0,26.4,63.9,42.2,88.3,91.0,39.0
EVT_00467,13.62,1806.3,0.0,9.1,63.2,33.8,69.5,75.4,92.3,100.0,114.0
EVT_00257,20.13,1455.1,1.54,38.9,50.1,24.4,70.9,,92.1,79.5,49.0
EVT_00457,8.78,1377.2,11.82,46.3,55.8,24.8,96.6,65.6,90.3,80.5,68.0
EVT_00319,18.44,2367.1,0.0,8.6,51.6,31.3,61.3,24.9,89.0,98.5,19.0
EVT_01640,6.66,2416.8,0.57,35.8,41.1,23.1,61.1,29.5,82.8,75.8,57.0
EVT_01111,10.11,1857.3,0.0,7.8,53.6,26.7,77.2,83.9,82.1,74.9,32.0
EVT_00179,19.53,570.6,0.0,3.6,57.2,30.0,46.4,0.0,91.5,84.5,18.0
EVT_01625,6.97,1960.4,2.02,23.4,70.2,,63.5,61.5,91.6,82.3,85.0
EVT_01783,15.73,2112.1,0.0,33.1,58.3,32.6,69.4,43.9,94.8,74.1,16.0
EVT_00402,11.72,2197.4,0.0,16.3,59.6,23.3,62.6,75.9,97.9,93.5,4.0
EVT_01608,7.33,1532.0,10.72,63.0,74.5,17.4,80.3,30.2,78.0,69.0,49.0
EVT_01431,8.8,2211.1,0.0,2.7,51.7,19.7,46.1,85.1,84.7,98.8,76.0
EVT_01731,7.85,1701.0,3.35,23.9,62.3,21.2,82.9,51.8,74.6,83.2,
EVT_00980,8.06,2189.1,0.0,11.9,56.7,23.1,45.6,64.0,94.7,90.8,27.0
EVT_00118,9.29,2315.5,0.0,0.1,66.0,29.1,62.6,76.1,81.0,90.5,47.0
EVT_00498,8.76,1935.5,0.0,3.5,53.8,22.3,50.3,44.5,89.2,89.3,0.0
EVT_00371,9.5,2279.9,0.0,8.5,62.4,28.8,65.9,92.7,80.4,75.3,41.0
EVT_01941,18.24,2281.3,0.1,47.4,39.1,26.8,62.9,12.9,84.8,83.8,11.0
EVT_01197,15.69,2019.4,0.64,39.9,49.1,32.1,91.9,59.3,95.6,85.9,12.0
EVT_00889,11.69,1424.7,10.98,63.6,63.4,28.7,75.8,70.6,93.1,77.7,80.0
EVT_00892,6.44,1692.4,0.0,8.0,62.9,21.2,58.8,32.9,83.0,81.3,59.0
EVT_01602,5.12,1072.6,0.0,3.4,59.8,27.2,67.7,35.1,94.7,79.0,65.0
EVT_00021,9.31,2736.1,0.0,2.7,50.8,28.3,63.4,90.4,85.3,88.7,30.0
EVT_01774,9.91,1852.6,0.0,3.5,55.1,23.5,,75.7,75.6,87.6,9.0
EVT_00629,6.06,1339.3,5.15,46.0,52.5,22.1,73.9,40.3,86.7,77.6,28.0
EVT_01876,13.12,1821.7,4.06,29.2,59.9,31.2,78.8,69.4,85.6,82.1,0.0
EVT_00555,6.96,1958.7,0.0,5.4,50.1,21.2,70.8,29.8,83.3,86.0,23.0
EVT_01251,15.91,2534.0,0.0,17.4,55.2,35.5,50.8,60.7,73.8,89.8,45.0
EVT_00137,10.59,2355.2,0.0,5.0,47.4,28.7,65.0,83.2,90.3,72.8,50.0
EVT_00685,10.06,1974.6,0.0,0.8,63.1,32.6,60.2,73.8,84.2,97.0,106.0
EVT_01412,16.77,871.2,18.54,73.5,68.3,31.6,83.8,56.5,72.3,60.7,19.0
EVT_01326,4.95,759.8,0.0,6.3,47.5,20.4,62.6,17.4,94.9,70.4,50.0
EVT_01959,7.81,2401.0,0.0,4.5,62.0,27.5,64.4,81.6,95.6,87.2,35.0
EVT_00862,8.16,2222.8,3.15,50.7,54.6,26.5,77.2,59.2,83.8,76.4,13.0
EVT_00508,6.27,614.2,25.18,94.5,66.5,16.6,90.8,48.9,75.6,67.4,100.0
EVT_01436,5.12,873.7,0.0,18.7,45.8,19.1,68.4,9.7,88.0,79.6,14.0
