row_id,avg_vehicle_speed_kmph,vehicle_count,pedestrian_count,road_occupancy_pct,incident_distance_m
EVT_01945,3,23.8,5.7,2,154.1
EVT_00423,13,33.8,16.7,6,70.4
EVT_00135,2,25.2,23.7,1,166.2
EVT_00106,2,44.8,52.6,28,215.7
EVT_00458,20,25.6,38.8,5,15.4
EVT_00101,22,43.0,18.9,5,68.0
EVT_00350,24,23.1,54.6,7,354.6
EVT_01445,37,18.7,63.7,8,12.5
EVT_00516,15,28.3,33.6,6,431.9
EVT_01558,14,46.0,31.4,7,123.7
EVT_00781,12,47.4,33.1,1,312.4
EVT_00166,3,32.2,2.7,0,136.4
EVT_01396,3,45.0,0.0,1,389.3
EVT_01641,9,48.0,33.8,4,
EVT_01031,26,41.0,26.9,4,208.5
EVT_01939,17,12.7,61.8,3,183.5
EVT_00263,36,26.9,33.0,5,149.8
EVT_00593,7,44.9,3.3,10,163.2
EVT_01951,27,32.9,28.3,2,142.7
EVT_00670,20,52.4,43.4,2,45.7
EVT_00032,17,42.2,46.2,4,37.2
EVT_00088,38,35.1,24.7,0,150.4
EVT_01025,35,23.0,,5,79.8
EVT_01870,23,41.6,41.7,11,51.8
EVT_01370,25,18.5,51.8,13,10.9
EVT_00097,23,41.9,24.9,4,129.8
EVT_01111,24,5.8,60.6,15,48.3
EVT_00192,14,43.1,24.6,3,258.4
EVT_00872,8,45.6,5.4,2,94.5
EVT_00065,24,25.9,48.8,14,11.2
EVT_01855,23,29.8,31.8,4,420.6
EVT_00070,35,19.7,61.6,5,192.8
EVT_00432,3,40.5,10.1,2,220.5
EVT_01955,11,50.9,19.4,6,57.3
EVT_00201,4,57.3,14.5,1,203.2
EVT_01147,35,30.6,28.4,5,490.9
EVT_01683,8,44.7,44.0,1,211.2
EVT_01763,16,20.9,61.2,12,24.9
EVT_01260,19,,28.6,12,151.1
EVT_01659,21,49.4,17.1,3,339.8
EVT_01664,6,51.7,36.1,3,169.3
EVT_01356,2,,12.4,1,193.5
EVT_00477,37,16.1,61.1,3,4.3
EVT_01516,28,19.2,15.3,3,71.0
EVT_01630,0,29.6,24.5,34,76.0
EVT_00635,13,42.5,55.5,6,181.5
EVT_01581,2,17.1,27.6,1,287.6
EVT_01363,14,46.7,34.3,9,54.6
EVT_01228,26,18.8,67.5,10,177.7
EVT_01455,27,27.4,36.1,30,127.6
EVT_00539,11,37.6,23.4,7,267.4
EVT_00641,18,6.0,59.2,10,8.0
EVT_01670,13,42.9,20.1,3,43.1
EVT_00275,11,48.2,14.2,5,181.0
EVT_01422,3,61.2,12.4,2,199.0
EVT_00850,10,17.4,60.6,1,51.0
EVT_01865,2,61.1,12.9,2,137.7
EVT_01776,0,9.6,66.2,7,5.6
EVT_00218,19,11.1,61.9,6,126.5
EVT_01308,25,39.5,15.1,5,55.2
EVT_01263,6,43.2,28.1,4,250.2
EVT_00620,19,13.2,62.9,4,
EVT_01059,9,52.5,39.7,5,291.5
EVT_01246,42,32.8,47.7,8,121.6
EVT_00083,5,45.0,17.9,0,70.4
EVT_00237,22,44.1,35.8,12,490.0
EVT_01479,37,11.2,34.8,7,44.2
EVT_01772,23,28.0,27.1,32,90.2
EVT_00272,9,42.1,52.6,33,149.2
EVT_01964,16,38.0,10.5,1,118.7
EVT_00899,12,3.9,66.2,2,69.3
EVT_00029,0,72.9,16.1,2,107.5
EVT_01060,22,41.8,42.5,3,182.6
EVT_01393,21,13.8,53.7,3,5.0
EVT_01642,17,29.9,62.6,20,347.9
EVT_00894,31,0.0,35.3,6,2.6
EVT_01736,26,27.6,28.0,3,100.1
EVT_00716,26,32.1,31.7,6,177.2
EVT_00306,19,48.4,33.5,2,46.9
EVT_00876,53,19.1,-197.11,11,40.3
EVT_01063,4,36.0,16.4,0,89.1
EVT_01535,5,31.9,16.6,1,198.6
EVT_01193,27,25.6,38.1,8,101.1
EVT_01614,27,40.2,59.5,8,47.6
EVT_00108,43,24.2,43.7,3,180.9
EVT_01574,6,33.9,5.9,2,62.5
EVT_01032,18,30.6,14.1,24,139.5
EVT_00791,40,23.9,34.5,3,131.6
EVT_00686,7,50.8,40.4,3,166.7
EVT_01663,21,25.2,53.2,13,259.0
EVT_01190,4,37.5,30.0,2,293.4
EVT_01223,24,13.2,39.6,7,6.5
EVT_00207,44,16.2,45.6,3,69.3
EVT_00534,0,55.2,15.1,19,210.0
EVT_00222,3,19.6,48.3,3,2.8
EVT_00219,22,26.6,60.3,6,4.1
EVT_00545,34,3.4,71.6,8,474.0
EVT_01858,19,21.5,40.8,2,127.9
EVT_00042,46,25.6,82.4,7,294.8
EVT_01645,23,29.6,44.9,34,366.0
EVT_01578,6,51.9,20.3,1,75.0
EVT_01398,43,10.8,78.2,6,57.7
EVT_00751,37,,42.7,6,182.9
EVT_00210,42,20.2,64.7,10,259.2
EVT_01043,0,39.7,30.9,2,103.8
EVT_00632,15,61.0,36.8,11,251.0
EVT_00005,21,23.1,20.9,10,15.7
EVT_00993,21,8.8,34.0,5,121.6
EVT_00321,20,30.6,34.6,19,445.7
EVT_00937,31,19.6,52.4,7,8.9
EVT_01821,3,45.8,25.6,2,55.4
EVT_01195,5,23.3,17.9,1,311.5
EVT_01244,9,52.7,45.7,5,140.0
EVT_01792,3,54.3,15.0,2,221.6
EVT_00978,22,30.6,23.7,6,11.2
EVT_01070,21,28.7,69.5,33,89.2
EVT_00117,4,27.1,20.4,3,191.2
EVT_01648,20,7.0,46.1,1,7.4
EVT_00860,21,25.8,46.2,18,84.4
EVT_01652,4,48.7,46.8,1,218.2
EVT_00580,8,37.1,17.0,3,183.4
EVT_00288,21,8.0,56.0,9,40.9
EVT_01412,22,0.0,38.0,20,54.9
EVT_00348,16,40.6,64.5,5,170.5
EVT_01456,34,31.7,75.3,5,47.0
EVT_01024,11,15.2,75.5,3,114.0
EVT_00375,33,11.7,53.4,11,111.3
EVT_01121,16,17.4,57.5,6,88.4
EVT_01351,32,16.3,41.8,25,125.3
EVT_00995,4,39.3,28.5,0,71.8
EVT_00689,12,,39.1,2,108.4
EVT_01284,28,34.9,61.0,30,103.7
EVT_00304,6,19.6,61.8,9,47.1
EVT_00597,8,21.9,31.0,7,376.7
EVT_01966,23,8.1,82.4,5,144.7
EVT_01693,8,41.6,10.1,1,112.8
EVT_01096,3,20.5,80.2,5,73.1
EVT_00464,16,19.8,17.7,21,187.8
EVT_00417,3,64.4,8.0,4,314.4
EVT_01920,30,67.0,,4,251.4
EVT_01169,12,63.5,,2,329.1
EVT_00588,21,35.2,23.5,2,154.2
EVT_01700,17,48.4,34.1,4,83.7
EVT_00674,21,49.1,38.7,3,228.2
EVT_01278,11,42.7,53.5,6,
EVT_00733,19,32.1,50.3,10,214.9
EVT_01538,40,0.0,55.2,3,54.8
EVT_01968,3,37.8,3.7,0,387.2
EVT_00460,23,35.4,27.6,4,161.6
EVT_D0025,24,13.0,40.0,1,4.8
EVT_00303,9,33.8,71.6,31,85.1
EVT_01210,16,13.8,54.3,5,
EVT_00111,31,10.9,72.1,2,148.3
EVT_00017,38,27.2,,3,119.7
EVT_01493,30,23.9,28.3,23,286.7
EVT_00270,42,5.8,72.7,6,35.3
EVT_00888,8,34.3,16.5,1,53.1
EVT_01258,28,45.7,30.4,4,233.0
EVT_00957,12,56.9,22.0,4,123.1
EVT_01857,35,25.6,68.2,8,89.6
EVT_01489,45,29.5,49.0,13,49.9
EVT_00174,12,36.9,24.2,0,151.4
EVT_00289,8,71.5,17.5,3,325.8
EVT_00884,15,44.8,47.0,15,66.8
EVT_00983,10,10.7,83.3,22,124.1
EVT_00442,15,26.5,30.1,2,262.8
EVT_01950,32,19.8,72.6,18,456.4
EVT_00440,26,17.0,55.7,3,2.3
EVT_01230,10,59.7,40.2,1,472.0
EVT_00300,34,34.4,30.3,6,46.4
EVT_00310,8,16.3,7.6,1,67.5
EVT_00099,15,24.5,57.2,6,83.9
EVT_01050,30,19.8,33.3,2,7.0
EVT_00202,53,6.1,42.5,9,258.7
EVT_01014,24,42.9,56.6,4,78.2
EVT_01526,33,15.9,66.6,4,442.7
EVT_00102,20,17.0,44.8,2,6.2
EVT_00489,30,35.7,31.2,7,99.9
EVT_01749,21,27.8,36.4,11,65.8
EVT_01719,12,44.4,35.9,1,241.2
EVT_01622,25,17.8,45.3,9,39.6
EVT_01073,2,31.4,14.3,2,154.6
EVT_00446,40,22.7,60.9,9,91.8
EVT_01576,4,54.8,10.1,1,168.3
EVT_00413,17,5.2,,9,211.2
EVT_00405,14,38.4,37.1,2,47.9
EVT_00490,3,47.6,17.3,1,153.8
EVT_00142,43,14.0,46.5,5,121.2
EVT_00180,41,15.3,80.1,8,
EVT_01248,24,15.0,44.8,20,88.2
EVT_01647,26,16.7,67.5,7,358.6
EVT_01127,23,16.1,89.5,4,125.6
EVT_00107,36,17.6,65.2,20,153.9
EVT_01240,15,20.3,44.5,26,316.9
EVT_00260,12,52.5,0.3,1,106.3
EVT_D0015,7,41.5,0.9,0,173.8
EVT_01972,43,21.4,,14,173.6
EVT_01823,24,6.8,64.8,4,10.0
EVT_01237,26,28.2,,3,4.2
EVT_01483,23,31.6,39.9,13,164.9
EVT_00387,12,33.4,25.2,6,47.0
EVT_01161,2,36.3,36.7,2,193.7
EVT_00818,21,,,5,260.2
EVT_00196,17,,35.6,7,367.8
EVT_00559,26,1.5,57.1,9,148.2
EVT_01292,39,18.4,75.2,8,132.5
EVT_01302,38,34.1,61.8,5,9999.0
EVT_01205,20,19.1,54.0,8,134.5
EVT_01407,18,,43.7,14,135.5
EVT_01888,0,10.6,41.6,31,219.2
EVT_01926,37,25.5,,2,62.5
EVT_01571,6,47.2,11.0,1,58.0
EVT_00856,3,66.6,21.7,0,189.6
EVT_01242,23,34.2,27.7,12,35.7
EVT_01326,12,9.0,44.0,5,94.1
EVT_00785,2,15.6,36.6,43,334.2
EVT_00634,4,56.4,27.4,1,104.2
EVT_01182,14,62.2,42.8,18,38.5
EVT_01347,2,41.6,24.6,0,162.3
EVT_01941,20,0.0,51.4,6,495.1
EVT_00449,35,20.2,48.8,5,100.4
EVT_00610,13,34.8,20.0,13,392.2
EVT_01837,6,41.8,3.1,1,91.4
EVT_00633,3,24.4,6.9,1,129.3
EVT_00434,61,16.0,73.2,6,69.0
EVT_01402,27,21.7,62.6,6,66.1
EVT_00125,6,55.7,10.6,1,267.6
EVT_00548,24,38.8,20.3,17,57.3
EVT_01885,25,14.1,69.3,7,69.1
EVT_00372,31,4.4,81.3,7,88.2
EVT_01288,12,51.4,37.1,6,234.1
EVT_00453,17,37.8,17.7,0,226.5
EVT_01509,15,39.2,33.3,5,66.2
EVT_01064,24,32.3,26.7,30,45.2
EVT_01594,6,29.1,55.7,2,25.9
EVT_01093,30,26.3,48.8,43,61.8
EVT_00945,23,46.3,37.3,7,35.5
EVT_01511,30,13.5,77.5,8,153.8
EVT_01207,18,37.8,28.8,36,68.7
EVT_01846,13,43.5,38.0,6,397.1
EVT_00195,7,25.8,28.1,3,205.6
EVT_01245,46,14.6,87.3,6,36.4
EVT_00763,7,31.0,12.6,2,90.6
EVT_00598,20,0.0,27.8,15,19.8
EVT_01775,6,36.5,16.0,0,118.5
EVT_00880,5,34.2,12.3,0,339.1
EVT_00681,20,31.6,30.6,3,114.6
EVT_01958,14,69.1,36.4,4,99.5
EVT_01213,17,17.6,50.3,9,418.2
EVT_00987,47,17.1,42.4,4,54.6
EVT_01049,31,38.8,71.5,9,61.7
EVT_01883,3,35.3,50.1,7,57.8
EVT_01214,13,19.6,46.4,20,77.8
EVT_00991,3,36.7,18.1,0,318.4
EVT_00966,21,6.7,82.8,2,59.1
EVT_01430,44,6.5,42.0,6,107.9
EVT_00877,23,30.8,49.2,5,63.1
EVT_01752,18,48.9,62.7,3,314.7
EVT_01587,26,50.4,34.0,1,44.5
EVT_01737,4,63.0,7.0,7,52.1
EVT_01808,19,9.7,36.2,9,3.2
EVT_00804,24,58.8,22.0,2,325.8
EVT_01275,25,5.7,57.4,3,161.6
EVT_01906,22,26.7,47.2,10,100.9
EVT_01927,36,12.8,71.3,0,201.3
EVT_01158,6,46.0,2.1,1,332.0
EVT_01194,45,11.9,59.7,10,46.9
EVT_01523,12,38.6,52.3,4,273.2
EVT_00531,26,12.5,41.9,14,123.1
EVT_00759,24,16.6,25.9,6,35.5
EVT_01019,18,22.7,65.8,5,61.1
EVT_00999,29,48.1,50.6,21,225.0
EVT_01773,20,24.7,39.4,7,8.4
EVT_00305,16,46.9,18.4,5,457.6
EVT_00673,2,0.0,37.1,4,7.4
EVT_D0002,39,53.5,20.9,3,44.6
EVT_00576,3,51.4,0.0,1,462.7
EVT_01279,7,38.9,31.9,4,42.8
EVT_01851,47,21.2,60.0,6,40.0
EVT_00525,19,41.8,36.6,4,210.5
EVT_01557,32,33.5,38.3,17,397.8
EVT_01922,5,63.2,21.2,2,308.6
EVT_01803,17,51.9,30.7,5,41.1
EVT_01154,5,24.4,14.1,1,237.1
EVT_01357,29,15.5,41.3,4,6.3
EVT_00230,4,25.1,10.4,3,65.0
EVT_00253,24,21.2,64.1,19,86.2
EVT_01500,14,58.7,18.5,13,68.0
EVT_00961,35,14.4,61.5,6,301.4
EVT_01923,6,,11.7,2,56.1
EVT_01973,35,12.2,33.8,4,57.4
EVT_00334,28,0.0,41.6,8,392.9
EVT_00502,29,7.0,75.3,4,33.9
EVT_01163,24,44.4,37.4,8,65.3
EVT_00396,13,27.5,39.8,27,483.8
EVT_00817,19,19.1,68.3,7,58.8
EVT_01001,14,28.2,56.2,28,302.5
EVT_00046,25,24.9,31.9,15,
EVT_00041,42,15.3,48.5,1,120.0
EVT_01218,30,13.1,93.0,4,53.0
EVT_00557,32,25.1,49.3,28,77.3
EVT_01475,4,15.8,21.0,20,62.5
EVT_00208,39,,45.7,12,36.4
EVT_01751,31,34.8,30.2,4,98.5
EVT_01902,0,21.4,52.1,12,93.0
EVT_00132,17,23.6,58.4,6,4.6
EVT_01131,3,44.8,8.4,1,285.6
EVT_01384,42,10.4,61.5,4,100.6
EVT_00524,3,58.4,24.0,7,160.3
EVT_01264,25,9.1,38.6,8,7.9
EVT_00865,29,26.2,33.7,18,155.1
EVT_01146,35,25.7,72.5,24,171.7
EVT_00661,35,14.1,41.5,23,9498.92
EVT_01621,48,16.2,53.9,5,37.4
EVT_00754,31,17.5,59.5,4,70.3
EVT_00883,3,20.0,45.5,3,81.4
EVT_01212,6,26.0,45.1,5,5.6
EVT_00730,24,14.9,39.0,7,36.0
EVT_01298,44,16.1,37.3,8,45.6
EVT_00582,30,34.4,56.1,5,112.8
EVT_00699,23,19.0,31.5,11,94.5
EVT_00006,57,40.1,72.0,6,50.8
EVT_01760,10,32.0,35.9,6,250.0
EVT_00399,55,14.9,67.3,2,62.1
EVT_00060,27,31.6,45.3,10,46.7
EVT_01974,20,14.6,61.3,0,97.7
EVT_01118,4,58.2,13.5,0,167.2
EVT_01159,18,42.2,39.7,32,60.6
EVT_01934,12,17.6,31.8,5,11.0
EVT_00838,18,15.7,,10,88.3
EVT_01528,18,7.6,67.0,11,59.8
EVT_00918,29,21.3,44.2,4,159.6
EVT_00575,20,854.47,35.1,3,93.0
EVT_01603,35,12.5,74.7,3,2.1
EVT_00738,17,32.2,39.1,3,392.6
EVT_00727,49,17.0,64.3,8,88.1
EVT_01997,41,3.9,69.2,13,40.5
EVT_00312,36,4.2,80.6,17,348.9
EVT_01665,10,52.0,3.2,4,77.5
EVT_00324,31,24.5,76.2,14,132.7
EVT_01572,26,48.2,46.8,9,190.3
EVT_00618,11,32.4,25.1,19,40.8
EVT_01822,11,49.0,33.8,6,40.6
EVT_00197,31,56.8,40.8,5,415.3
EVT_01705,14,45.8,11.4,9,62.6
EVT_01829,15,19.4,55.1,8,125.4
EVT_01411,3,54.3,43.5,20,79.0
EVT_00946,44,24.9,75.1,6,125.1
EVT_00363,33,19.7,,6,61.9
EVT_00336,7,37.4,8.6,0,244.8
EVT_01389,46,11.0,73.0,8,59.8
EVT_00755,22,17.5,58.6,9,2.6
EVT_01463,17,51.6,44.1,1,173.7
EVT_00934,35,24.4,86.6,1,471.5
EVT_01919,0,20.1,42.5,19,305.0
EVT_00583,4,29.0,5.0,0,207.1
EVT_01980,37,38.7,29.8,1,171.3
EVT_01150,7,33.3,3.3,0,57.8
EVT_01550,38,12.1,73.9,3,129.3
EVT_00996,4,5.8,13.9,3,116.4
EVT_00259,19,30.7,61.4,24,337.3
EVT_00010,13,34.4,29.8,14,37.0
EVT_01631,31,18.2,31.8,1,382.7
EVT_01473,36,22.3,74.5,19,256.5
EVT_01649,2,53.9,34.1,1,173.0
EVT_00156,16,10.5,65.2,4,
EVT_01204,16,40.0,45.7,1,195.7
EVT_01546,20,50.2,19.0,2,158.7
EVT_01140,20,18.3,82.5,3,156.3
EVT_00805,22,49.5,22.5,15,40.6
EVT_00858,1,50.3,12.9,1,245.0
EVT_00734,49,7.2,59.3,6,101.9
EVT_01041,44,26.4,55.5,7,52.7
EVT_01875,6,54.8,7.7,0,137.7
EVT_01604,0,1.3,37.7,25,101.0
EVT_00495,42,17.4,49.0,2,249.8
EVT_00574,23,18.9,55.8,5,157.5
EVT_00411,11,57.4,25.3,2,139.1
EVT_01680,23,47.8,29.7,1,455.9
EVT_01164,14,36.4,23.2,1,88.2
EVT_00182,17,40.5,28.5,3,79.2
EVT_00421,41,8.2,67.4,9,168.1
EVT_00639,15,63.5,14.8,1,102.3
EVT_00522,3,35.6,8.0,1,131.5
EVT_00234,24,31.2,31.2,11,172.2
EVT_01521,24,33.1,33.7,28,212.3
EVT_01782,43,5.5,,4,134.2
EVT_01566,18,41.6,47.8,4,261.8
EVT_00614,17,12.5,81.2,1,71.4
EVT_01681,2,52.4,12.4,1,124.4
EVT_00956,60,12.1,42.6,1,155.1
EVT_00988,6,23.2,1.0,0,307.7
EVT_01694,35,23.9,79.1,11,355.6
EVT_00508,23,6.5,68.6,2,9.8
EVT_01644,4,54.6,11.6,1,96.8
EVT_01957,36,28.1,48.5,7,183.3
EVT_00902,30,10.7,35.3,2,64.6
EVT_01143,10,59.4,15.0,2,207.3
EVT_00082,18,45.2,33.7,4,89.2
EVT_01896,17,85.5,30.2,1,197.0
EVT_01812,9,50.0,29.2,5,38.1
EVT_00772,25,25.8,56.3,6,
EVT_01429,3,22.7,32.4,24,359.8
EVT_01806,9,65.8,13.6,1,143.7
EVT_01277,16,37.2,19.8,2,198.4
EVT_00297,15,19.7,69.6,9,387.3
EVT_00705,32,28.5,41.4,11,438.7
EVT_01525,31,29.8,23.1,3,231.1
EVT_01605,16,0.0,52.7,20,466.8
EVT_00342,50,3.9,75.2,3,18.0
EVT_00897,8,22.5,0.0,2,102.3
EVT_01282,13,49.5,37.3,11,167.1
EVT_01781,19,57.4,15.9,6,54.9
EVT_01048,17,7.2,87.7,3,259.0
EVT_01036,9,17.5,9.9,36,44.5
EVT_01753,16,48.4,45.3,1,391.3
EVT_00271,36,18.1,68.4,3,434.3
EVT_00298,12,38.7,49.2,31,41.4
EVT_00266,30,19.8,66.3,4,38.6
EVT_00122,30,12.2,60.6,15,7.6
EVT_01069,14,73.1,8.7,2,260.8
EVT_00450,26,12.1,44.2,8,11.3
EVT_00284,33,20.1,53.9,9,60.7
EVT_01482,18,11.4,53.8,21,6.9
EVT_01152,4,34.5,11.7,1,177.6
EVT_01227,3,60.3,15.7,0,87.1
EVT_00910,3,66.6,0.0,0,97.7
EVT_00563,27,8.5,50.0,5,292.2
EVT_00797,10,39.3,35.9,1,54.5
EVT_01886,23,35.6,28.0,35,102.9
EVT_00846,26,39.3,34.6,6,124.5
EVT_01018,6,37.6,15.4,2,
EVT_00401,20,36.2,25.3,6,109.4
EVT_01869,30,12.6,75.5,6,93.5
EVT_01253,14,41.5,42.0,8,197.2
EVT_00293,8,26.4,23.3,3,55.4
EVT_00323,32,7.9,46.6,4,10.9
EVT_00717,18,28.9,49.7,10,190.1
EVT_01611,20,6.7,24.4,1,45.2
EVT_00328,15,67.0,,1,189.1
EVT_00874,2,26.3,19.3,0,53.6
EVT_00116,19,17.7,45.3,5,35.5
EVT_01573,41,12.0,44.2,6,383.3
EVT_00322,0,41.4,37.5,6,
EVT_00340,28,26.9,55.4,5,412.9
EVT_00157,28,12.8,77.6,2,8.3
EVT_01035,23,59.3,38.6,4,202.6
EVT_00669,56,36.4,70.7,3,217.2
EVT_01690,25,40.3,44.9,14,453.9
EVT_01508,22,35.8,40.0,1,465.7
EVT_01612,8,12.8,57.7,4,28.8
EVT_00643,34,16.0,83.0,10,148.9
EVT_01065,29,,90.7,2,67.5
EVT_00211,21,43.4,0.0,2,280.7
EVT_00761,16,35.8,20.8,17,41.3
EVT_00653,26,29.7,48.8,13,70.4
EVT_00798,22,35.8,33.4,6,37.6
EVT_00933,34,16.7,8.9,6,9.9
EVT_01139,29,35.6,50.5,7,172.0
EVT_01807,7,54.1,13.6,1,431.7
EVT_00710,4,39.4,19.4,1,289.3
EVT_01484,10,30.4,31.8,19,265.3
EVT_00892,38,19.6,48.4,2,119.2
EVT_01274,32,26.6,49.0,1,168.8
EVT_00096,15,54.2,10.3,0,131.5
EVT_00168,1,45.5,5.9,1,80.7
EVT_00663,0,18.4,48.5,2,4.2
EVT_01426,37,1112.27,66.5,12,40.4
EVT_01468,41,16.9,52.7,16,375.3
EVT_00886,7,,10.3,0,65.0
EVT_01947,41,21.5,63.9,11,156.9
EVT_01454,21,22.3,34.2,2,126.6
EVT_00344,2,17.9,23.3,2,177.7
EVT_01250,9,33.3,27.5,26,399.4
EVT_00844,8,32.5,22.9,1,125.7
EVT_01235,15,50.8,18.5,2,116.2
