row_id,vehicle_count,avg_vehicle_speed_kmph,road_occupancy_pct,pedestrian_count,incident_distance_m
EVT_01009,0,25.7,31.0,21,
EVT_00937,31,19.6,52.4,7,8.9
EVT_00820,9,28.4,58.1,22,317.1
EVT_00185,28,15.5,46.2,16,
EVT_00274,19,17.9,26.1,4,76.9
EVT_00902,30,10.7,35.3,2,64.6
EVT_00048,36,12.8,39.8,8,54.4
EVT_00666,18,37.8,47.1,2,279.6
EVT_00213,48,22.3,,7,347.9
EVT_01433,21,25.0,13.0,14,134.3
EVT_01006,58,,70.0,7,181.1
EVT_01930,4,36.1,15.9,0,64.8
EVT_01481,28,40.3,50.3,26,51.8
EVT_01827,10,39.6,10.1,1,238.2
EVT_00775,13,15.8,60.8,8,25.9
EVT_00327,14,52.4,41.2,8,127.3
EVT_00381,15,42.4,17.3,3,75.4
EVT_00291,27,29.5,32.9,7,23.6
EVT_01726,1,59.0,28.5,1,95.2
EVT_D0020,39,23.7,64.5,3,321.3
EVT_00778,6,19.8,6.4,0,346.3
EVT_01257,5,37.1,12.4,0,65.4
EVT_01814,14,34.4,24.0,1,72.3
EVT_01820,14,49.5,25.8,5,48.5
EVT_01110,3,2.2,51.3,15,53.6
EVT_01950,32,19.8,72.6,18,456.4
EVT_00060,27,31.6,45.3,10,46.7
EVT_00030,38,25.8,66.2,11,145.7
EVT_01019,18,22.7,65.8,5,61.1
EVT_01934,12,17.6,31.8,5,11.0
EVT_00621,1,50.0,4.1,2,429.0
EVT_00785,2,15.6,36.6,43,334.2
EVT_01269,8,,16.6,0,158.9
EVT_01657,50,27.7,72.2,8,181.4
EVT_00931,8,24.3,29.8,27,138.4
EVT_00235,26,8.7,42.2,6,5.7
EVT_01083,14,37.9,36.8,24,48.1
EVT_01863,20,37.2,34.6,16,35.5
EVT_00262,19,,37.5,4,92.3
EVT_00957,12,56.9,22.0,4,123.1
EVT_00795,2,50.9,14.0,1,163.6
EVT_00413,17,5.2,,9,211.2
EVT_01175,19,7.1,43.4,5,17.9
EVT_00259,19,30.7,61.4,24,337.3
EVT_00131,9,42.1,2.3,1,270.8
EVT_01298,44,16.1,37.3,8,45.6
EVT_01121,16,17.4,57.5,6,88.4
EVT_01705,14,45.8,11.4,9,62.6
EVT_00197,31,56.8,40.8,5,415.3
EVT_01787,39,0.0,33.2,6,56.0
EVT_01501,3,26.0,10.8,1,189.1
EVT_01711,31,22.5,54.5,8,8.9
EVT_00986,44,37.9,70.9,20,296.4
EVT_00507,21,15.9,34.6,38,223.1
EVT_00130,4,62.1,9.4,4,382.5
EVT_01486,0,47.8,17.5,2,310.2
EVT_00497,16,18.8,68.5,3,62.7
EVT_00326,26,27.6,3.1,18,323.4
EVT_01744,16,32.8,59.0,2,164.5
EVT_01848,29,0.0,70.1,5,95.7
EVT_00182,17,40.5,28.5,3,79.2
EVT_00537,17,15.3,84.6,2,17.6
EVT_01842,38,2.5,89.2,9,67.7
EVT_00112,29,31.0,80.4,3,54.3
EVT_01107,48,16.2,68.8,12,86.6
EVT_00969,23,36.8,15.5,5,77.5
EVT_01353,5,60.8,17.0,0,325.4
EVT_01633,31,39.9,30.0,13,56.8
EVT_00554,7,58.4,52.3,3,474.3
EVT_00119,28,20.7,51.2,13,6.5
EVT_01579,30,20.6,75.1,5,48.1
EVT_00894,31,0.0,35.3,6,2.6
EVT_00996,4,5.8,13.9,3,116.4
EVT_00518,29,35.5,50.3,20,116.0
EVT_01758,37,40.5,45.2,7,423.0
EVT_00039,21,28.1,58.7,5,393.9
EVT_01670,13,42.9,20.1,3,43.1
EVT_01923,6,,11.7,2,56.1
EVT_00177,12,61.2,41.9,9,50.3
EVT_01881,31,13.4,48.0,11,4.6
EVT_01047,20,13.3,67.1,26,80.6
EVT_00531,26,12.5,41.9,14,123.1
EVT_01891,21,63.3,62.5,3,139.9
EVT_01165,3,71.1,3.2,4,53.8
EVT_01791,39,10.3,65.1,8,38.2
EVT_01909,37,20.3,59.9,3,151.7
EVT_01409,60,27.0,76.6,7,423.6
EVT_01122,44,0.0,39.0,5,200.2
EVT_00436,13,20.0,27.2,15,96.8
EVT_01188,3,71.8,27.0,3,150.7
EVT_00514,4,41.9,26.6,1,168.6
EVT_01374,32,54.4,25.9,4,193.6
EVT_00690,20,30.0,17.2,6,2.0
EVT_00092,4,26.6,36.0,0,44.5
EVT_01463,17,51.6,44.1,1,173.7
EVT_01472,0,34.8,50.6,11,171.7
EVT_01998,6,8.8,57.4,3,2.8
EVT_00525,19,41.8,36.6,4,210.5
EVT_00847,35,13.0,57.3,19,375.5
EVT_00974,3,11.9,76.4,1,389.5
EVT_00660,24,58.3,35.2,4,299.0
EVT_01099,26,25.8,53.6,7,41.1
EVT_00088,38,35.1,24.7,0,150.4
EVT_01144,40,26.3,33.0,16,391.1
EVT_01970,19,18.6,49.8,11,11.0
EVT_01078,41,8.6,66.1,3,438.6
EVT_01391,18,7.1,49.7,27,69.9
EVT_00933,34,16.7,8.9,6,9.9
EVT_00882,24,42.9,22.8,19,468.1
EVT_00219,22,26.6,60.3,6,4.1
EVT_01525,31,29.8,23.1,3,231.1
EVT_00521,11,29.5,44.3,30,69.7
EVT_01055,35,13.5,67.9,12,350.3
EVT_01478,11,37.6,13.0,1,483.4
EVT_00912,13,20.4,52.5,6,245.7
EVT_00097,23,41.9,24.9,4,129.8
EVT_01546,20,50.2,19.0,2,158.7
EVT_01446,5,34.6,6.4,2,66.8
EVT_01803,17,51.9,30.7,5,41.1
EVT_00639,15,63.5,14.8,1,102.3
EVT_00642,45,24.5,56.3,8,38.7
EVT_01348,4,55.7,19.7,1,287.0
EVT_01337,15,55.6,50.7,4,153.5
EVT_00663,0,18.4,48.5,2,4.2
EVT_01278,11,42.7,53.5,6,
EVT_01895,5,58.9,8.4,1,86.2
EVT_00561,22,36.1,40.3,15,101.9
EVT_01617,5,55.6,5.2,0,93.3
EVT_01597,54,,86.1,1,286.9
EVT_01532,3,48.3,15.6,1,454.3
EVT_01648,20,7.0,46.1,1,7.4
EVT_00584,5,32.8,15.0,2,53.8
EVT_01340,12,64.6,,1,306.2
EVT_01162,43,14.8,67.7,6,86.7
EVT_00246,7,45.1,12.5,1,134.0
EVT_01057,7,61.8,10.6,1,107.5
EVT_00620,19,13.2,62.9,4,
EVT_00717,18,28.9,49.7,10,190.1
EVT_00505,12,17.4,0.2,2,446.5
EVT_00188,20,39.4,19.3,8,201.6
EVT_01093,30,26.3,48.8,43,61.8
EVT_00577,35,3.9,61.7,16,199.3
EVT_00927,10,40.2,18.9,10,70.6
EVT_00450,26,12.1,44.2,8,11.3
EVT_01371,9,34.8,37.9,5,176.3
EVT_00759,24,16.6,25.9,6,35.5
EVT_00596,35,19.2,95.3,5,403.1
EVT_00383,19,1.0,39.7,30,94.5
EVT_00510,25,37.7,55.2,9,73.0
EVT_01999,26,38.2,32.8,8,58.5
EVT_01168,25,23.1,83.3,4,177.4
EVT_01599,31,21.0,5.9,17,291.9
EVT_01719,12,44.4,35.9,1,241.2
EVT_00412,30,25.1,29.3,13,381.4
EVT_00966,21,6.7,82.8,2,59.1
EVT_01040,25,15.0,46.7,16,146.2
EVT_01507,27,12.7,60.5,14,78.4
EVT_01797,18,17.6,51.9,7,114.4
EVT_00122,30,12.2,60.6,15,7.6
EVT_01995,19,27.0,28.0,36,423.2
EVT_00732,1,16.6,96.3,4,16.2
EVT_00655,30,28.9,75.5,2,30.2
EVT_00467,21,3.7,,14,92.7
EVT_00257,33,10.7,64.3,9,21.8
EVT_00457,20,14.8,74.0,10,3.9
EVT_00319,9,30.9,29.6,7,73.7
EVT_01640,13,13.4,34.0,2,22.5
EVT_01111,24,5.8,60.6,15,48.3
EVT_00179,31,22.7,62.6,8,160.3
EVT_01625,49,27.0,81.5,11,187.5
EVT_01783,16,36.4,47.1,5,66.4
EVT_00402,12,57.1,56.6,4,74.2
EVT_01608,45,29.0,,19,254.4
EVT_01431,17,26.4,39.2,9,114.2
EVT_01731,54,12.2,67.9,7,103.8
EVT_00980,49,22.1,94.6,5,268.7
EVT_00118,29,27.4,22.9,14,43.4
EVT_00498,48,21.9,57.3,7,141.4
EVT_00371,43,11.0,55.8,10,108.2
EVT_01941,20,0.0,51.4,6,495.1
EVT_01197,7,32.1,5.2,5,282.5
EVT_00889,32,1.3,48.2,15,14.7
EVT_00892,38,19.6,48.4,2,119.2
EVT_01602,22,16.4,15.6,4,2.3
EVT_00021,0,,9.9,1292,86.1
EVT_01774,33,60.1,32.6,4,279.4
EVT_00629,8,52.5,6.2,2,101.0
EVT_01876,3,12.4,82.2,5,43.3
EVT_00555,14,28.1,25.9,10,176.2
EVT_01251,32,43.4,25.4,9,441.1
EVT_00137,22,32.3,35.7,5,13.9
EVT_00685,33,23.6,58.4,10,3.6
EVT_01412,22,0.0,38.0,20,54.9
EVT_01326,12,9.0,44.0,5,94.1
EVT_01959,13,23.2,41.5,3,214.1
EVT_00862,14,48.6,25.8,3,84.2
EVT_00508,23,6.5,68.6,2,9.8
EVT_01436,11,54.5,11.1,12,147.1
EVT_00605,4,26.9,39.1,8,177.2
EVT_00920,1,32.9,17.0,2,55.7
EVT_01822,11,49.0,33.8,6,40.6
EVT_00769,18,38.3,30.6,7,68.9
EVT_00265,71,20.9,46.0,2,244.3
EVT_00105,26,3.1,80.8,3,38.9
EVT_00244,9,36.1,12.5,1,181.0
EVT_00634,4,56.4,27.4,1,104.2
EVT_00044,25,-124.17,24.0,6,246.9
EVT_01655,20,34.4,27.3,6,47.2
EVT_01664,6,51.7,36.1,3,169.3
EVT_00352,12,43.5,32.6,4,44.0
EVT_01833,7,40.6,15.6,1,298.7
EVT_00945,23,46.3,37.3,7,35.5
EVT_00287,8,24.4,13.4,2,216.1
EVT_01853,0,42.0,27.8,2,110.6
EVT_00218,19,11.1,61.9,6,126.5
EVT_00002,39,14.3,36.9,9,4.6
EVT_01604,0,1.3,37.7,25,101.0
EVT_01647,26,16.7,67.5,7,358.6
EVT_01905,39,0.0,57.6,7,168.1
EVT_00022,2,54.2,13.5,1,207.0
EVT_00398,8,50.1,12.9,2,329.2
EVT_01130,36,23.6,62.4,11,167.2
EVT_01413,40,16.5,94.9,3,35.5
EVT_00831,20,43.9,50.8,25,152.1
EVT_00734,49,7.2,59.3,6,101.9
EVT_00650,14,54.8,19.4,1,259.7
EVT_00590,0,53.9,39.2,3,42.4
EVT_01750,5,52.5,41.1,0,314.6
EVT_01260,19,,28.6,12,151.1
EVT_01652,4,48.7,46.8,1,218.2
EVT_00411,11,57.4,25.3,2,139.1
EVT_00020,6,51.2,17.3,1,63.3
EVT_01045,31,28.6,41.8,1,39.0
EVT_00384,28,26.6,27.3,29,65.8
EVT_01674,51,14.4,77.8,7,202.3
EVT_01295,45,10.4,50.1,3,423.9
EVT_01901,29,7.0,33.7,8,14.5
EVT_00546,3,37.6,12.0,2,98.5
EVT_01403,9,15.4,51.7,10,436.3
EVT_00078,20,50.0,,7,51.7
EVT_00139,33,15.3,72.8,3,36.9
EVT_00366,58,19.4,56.7,6,36.0
EVT_00129,22,27.3,54.2,11,35.1
EVT_01248,24,15.0,44.8,20,88.2
EVT_00615,22,19.6,58.3,9,178.9
EVT_01164,14,36.4,23.2,1,88.2
EVT_01555,31,24.9,87.6,8,59.1
EVT_00169,10,52.3,9.4,1,201.7
EVT_01743,15,41.2,29.3,1,140.3
EVT_00949,25,15.2,68.4,22,420.2
EVT_01872,26,0.0,69.2,4,36.9
EVT_01252,10,,7.3,2,362.8
EVT_00194,3,90.0,3.4,0,209.2
EVT_00786,30,2.4,42.8,29,297.9
EVT_00880,5,34.2,12.3,0,339.1
EVT_00275,11,48.2,14.2,5,181.0
EVT_00160,11,41.0,58.2,26,37.4
EVT_00960,38,17.1,3.5,6,99.9
EVT_00423,13,33.8,16.7,6,70.4
EVT_00376,36,23.1,55.5,9,12.6
EVT_00270,42,5.8,72.7,6,35.3
EVT_01494,17,35.6,38.0,17,288.8
EVT_00586,2,51.4,24.4,1,108.6
EVT_00487,12,43.6,33.2,6,126.5
EVT_00671,24,26.2,49.5,11,127.1
EVT_01116,8,57.9,5.7,1,114.9
EVT_01321,30,17.2,69.3,7,104.5
EVT_01952,29,9.7,41.7,2,6.1
EVT_01088,40,16.1,56.9,7,119.4
EVT_00142,43,14.0,46.5,5,121.2
EVT_01596,18,39.5,40.6,2,64.5
EVT_01284,28,34.9,61.0,30,103.7
EVT_01273,9,59.0,13.7,6,402.3
EVT_00302,4,66.9,16.6,1,203.7
EVT_00434,61,16.0,73.2,6,69.0
EVT_00045,39,18.7,46.9,3,195.2
EVT_01036,9,17.5,9.9,36,44.5
EVT_01518,19,8.2,47.1,8,8.6
EVT_01612,8,12.8,57.7,4,28.8
EVT_01802,20,43.8,29.3,2,38.2
EVT_01234,11,47.7,41.3,5,229.4
EVT_00070,35,19.7,61.6,5,192.8
EVT_00484,4,28.4,4.1,1,330.6
EVT_00387,12,33.4,25.2,6,47.0
EVT_00293,8,26.4,23.3,3,55.4
EVT_01944,1,10.1,50.8,15,70.0
EVT_00819,6,45.4,0.0,2,51.0
EVT_00575,20,854.47,35.1,3,93.0
EVT_01526,33,15.9,66.6,4,442.7
EVT_01883,3,35.3,50.1,7,57.8
EVT_D0025,24,13.0,40.0,1,4.8
EVT_00405,14,38.4,37.1,2,47.9
EVT_00211,21,43.4,0.0,2,280.7
EVT_01064,24,32.3,26.7,30,45.2
EVT_00033,21,29.7,46.9,4,66.9
EVT_00255,29,44.8,27.4,3,96.6
EVT_01332,18,37.6,26.7,14,448.1
EVT_01607,14,25.5,48.0,6,2.1
EVT_01196,26,12.9,84.9,6,154.6
EVT_00841,35,32.0,85.6,6,180.5
EVT_00699,23,19.0,31.5,11,94.5
EVT_00415,0,37.4,16.6,14,11283.73
EVT_00210,42,20.2,64.7,10,259.2
EVT_01524,24,25.4,34.1,29,38.2
EVT_00716,26,32.1,31.7,6,177.2
EVT_00065,24,25.9,48.8,14,11.2
EVT_01282,13,49.5,37.3,11,167.1
EVT_01266,3,60.7,13.6,2,305.0
EVT_01473,36,22.3,74.5,19,256.5
EVT_01368,10,31.6,31.3,8,63.8
EVT_01392,18,71.2,29.5,3,195.8
EVT_01067,4,36.8,17.7,0,387.8
EVT_01879,30,24.1,70.3,6,214.5
EVT_01835,43,8.0,60.9,8,414.3
EVT_01087,17,45.6,45.9,5,103.1
EVT_01619,32,34.1,62.9,5,38.3
EVT_01780,32,10.6,48.9,6,61.3
EVT_00448,29,20.7,77.4,16,351.7
EVT_00926,24,39.2,31.0,5,216.1
EVT_00502,29,7.0,75.3,4,33.9
EVT_01030,38,41.7,65.9,6,56.5
EVT_01097,21,42.5,52.1,17,35.1
EVT_00863,19,44.6,23.6,4,204.2
EVT_00789,11,43.9,36.8,9,382.5
EVT_00694,36,10.1,56.1,3,42.5
EVT_01335,21,27.7,63.0,9,5.3
EVT_00729,3,76.8,4.6,1,52.8
EVT_00983,10,10.7,83.3,22,124.1
EVT_00693,18,7.7,29.6,8,2.0
EVT_D0028,24,58.1,40.1,6,36.7
EVT_01142,49,13.1,50.9,9,
EVT_00788,36,14.7,73.1,3,214.7
EVT_01921,36,15.7,60.6,7,114.9
EVT_01065,29,,90.7,2,67.5
EVT_00147,7,45.7,32.1,24,82.7
EVT_00183,9,20.0,44.8,15,112.7
EVT_D0003,18,22.7,65.8,5,61.1
EVT_01764,4,34.3,18.0,2,164.6
EVT_00762,31,,60.8,4,256.8
EVT_00579,11,24.7,41.7,3,35.2
EVT_00159,4,21.6,35.0,7,420.4
EVT_00223,15,51.5,0.0,5,57.0
EVT_01024,11,15.2,75.5,3,114.0
EVT_00267,43,9.3,57.7,8,88.9
EVT_01274,32,26.6,49.0,1,168.8
EVT_01707,30,22.5,60.8,6,38.0
EVT_00116,19,17.7,45.3,5,35.5
EVT_00541,25,24.6,86.2,6,278.3
EVT_01908,15,48.4,33.0,4,148.0
EVT_00888,8,34.3,16.5,1,53.1
EVT_00153,15,23.5,41.9,29,38.0
EVT_00898,3,34.9,22.0,2,165.5
EVT_01779,20,19.2,37.5,30,176.8
EVT_00216,1608,56.4,,3,152.2
EVT_00989,10,18.6,67.9,4,16.9
EVT_01800,17,50.0,27.5,2,322.6
EVT_00369,2,26.1,37.1,14,186.4
EVT_01126,18,13.7,96.0,25,6.2
EVT_00809,3,60.6,8.4,3,399.4
EVT_01967,10,67.2,36.5,1,59.0
EVT_00102,20,17.0,44.8,2,6.2
EVT_01279,7,38.9,31.9,4,42.8
EVT_00356,18,21.2,67.5,19,144.7
EVT_01439,48,0.0,25.8,5,10.9
EVT_01114,40,17.2,,16,98.0
EVT_00329,32,15.0,33.4,3,13.7
EVT_00853,0,63.4,13.9,1,249.0
EVT_01698,15,59.1,24.8,1,410.7
EVT_01430,44,6.5,42.0,6,107.9
EVT_00913,14,14.5,34.8,6,
EVT_01549,6,48.2,27.2,2,375.8
EVT_00670,20,52.4,43.4,2,45.7
EVT_01035,23,59.3,38.6,4,202.6
EVT_01984,17,48.7,5.1,2,40.1
EVT_00900,15,50.4,18.0,5,283.8
EVT_01947,41,21.5,63.9,11,156.9
EVT_01718,15,39.8,18.0,4,39.0
EVT_00272,9,42.1,52.6,33,149.2
EVT_01884,45,14.0,73.7,4,61.1
EVT_01152,4,34.5,11.7,1,177.6
EVT_00641,18,6.0,59.2,10,8.0
EVT_01235,15,50.8,18.5,2,116.2
EVT_00712,3,59.8,6.1,0,89.9
EVT_01875,6,54.8,7.7,0,137.7
EVT_00288,21,8.0,56.0,9,40.9
EVT_01741,5,19.8,28.0,33,148.9
EVT_00939,30,13.7,50.9,13,47.0
EVT_01459,27,34.9,30.5,3,49.0
EVT_00468,67,31.2,45.1,7,75.6
EVT_01706,18,19.4,52.1,5,3.7
EVT_00463,38,50.1,29.8,12,40.2
EVT_00529,12,38.6,24.3,2,87.7
EVT_D0004,14,49.5,25.8,5,48.5
EVT_00877,23,30.8,49.2,5,63.1
EVT_00084,8,40.0,,13,41.1
EVT_01980,37,38.7,29.8,1,171.3
EVT_01316,6,34.2,13.2,-58,70.1
EVT_00013,33,33.2,66.5,28,50.4
EVT_01485,18,68.7,4.7,2,48.8
EVT_00953,45,21.6,83.9,2,71.3
EVT_01870,23,41.6,41.7,11,51.8
EVT_01927,36,12.8,71.3,0,201.3
EVT_01180,25,44.2,35.9,2,83.3
EVT_01634,2,42.2,18.9,3,134.4
EVT_01264,25,9.1,38.6,8,7.9
EVT_00225,3,,29.1,1,71.9
EVT_01890,13,18.7,27.3,17,415.6
EVT_00035,33,7.3,,8,67.1
EVT_00928,23,50.4,25.9,2,87.0
EVT_00222,3,19.6,48.3,3,2.8
EVT_00176,26,43.7,,4,147.4
EVT_01534,22,9.4,47.7,31,76.4
EVT_00245,16,4.7,73.1,3,112.3
EVT_00613,30,45.3,56.0,29,74.9
EVT_01915,0,43.9,25.7,9,133.2
EVT_00692,14,44.6,60.0,9,137.6
EVT_00736,40,35.2,72.3,5,49.0
EVT_01836,13,44.8,40.5,22,179.6
EVT_01106,32,15.1,53.4,5,7.6
EVT_01069,14,73.1,8.7,2,260.8
EVT_01545,50,27.9,61.3,4,169.1
EVT_00709,13,3.0,26.0,9,2.6
EVT_00764,6,41.1,2.6,1,77.3
EVT_00391,19,28.1,29.6,1,45.9
EVT_01866,17,28.9,53.3,6,64.7
EVT_01225,24,58.1,40.1,6,36.7
EVT_01600,15,61.0,27.3,5,113.4
EVT_01453,23,37.3,26.1,3,57.9
EVT_01859,16,20.0,28.6,16,55.4
EVT_00200,26,45.6,33.5,1,215.2
EVT_00156,16,10.5,65.2,4,
EVT_01396,3,45.0,0.0,1,389.3
EVT_01254,17,26.7,25.2,14,70.3
EVT_00481,1,39.3,8.6,0,72.6
EVT_01205,20,19.1,54.0,8,134.5
EVT_01536,22,44.5,27.5,3,150.2
EVT_00399,55,14.9,67.3,2,62.1
EVT_01182,14,62.2,42.8,18,38.5
EVT_00903,26,40.6,44.4,2,97.7
EVT_00813,5,49.4,8.5,2,127.6
EVT_01643,27,7.4,55.2,3,12.9
EVT_00229,15,,40.8,4,325.5
EVT_00431,28,14.6,45.1,15,235.1
EVT_01435,15,43.8,27.3,9,94.6
EVT_00207,44,16.2,45.6,3,69.3
EVT_01627,27,10.9,60.1,7,57.3
EVT_01687,12,57.1,32.7,3,185.9
EVT_01169,12,63.5,,2,329.1
EVT_01497,56,17.3,71.0,5,149.4
EVT_00228,14,34.0,24.0,5,50.6
EVT_01471,21,44.4,35.7,7,60.3
EVT_D0009,26,16.3,,12,62.1
EVT_00397,4,47.8,11.0,1,389.3
EVT_01975,22,17.4,71.6,5,116.2
EVT_01728,33,38.7,38.8,7,
EVT_01509,15,39.2,33.3,5,66.2
EVT_00191,1,61.6,10.9,0,309.1
EVT_01214,13,19.6,46.4,20,77.8
EVT_01050,30,19.8,33.3,2,7.0
EVT_01990,35,12.0,56.0,8,242.9
EVT_01771,9,34.6,43.6,1,90.7
EVT_01554,22,27.0,43.6,11,35.3
EVT_01017,43,11.8,76.1,2,16.1
EVT_01900,23,41.5,27.9,7,56.9
EVT_01243,32,7.1,63.9,3,165.7
EVT_00676,8,52.6,35.3,1,129.1
EVT_01508,22,35.8,40.0,1,465.7
EVT_01913,34,37.3,41.3,13,206.3
EVT_00691,29,26.9,18.4,33,154.6
EVT_01679,35,15.9,43.5,3,96.2
EVT_00626,19,33.0,14.1,8,
EVT_01496,23,53.3,38.6,5,35.3
EVT_01591,6,65.4,13.3,0,102.9
EVT_01654,29,34.6,41.3,19,41.3
EVT_01904,43,7.1,98.2,6,195.1
EVT_00073,31,19.4,78.6,9,36.8
EVT_00401,20,36.2,25.3,6,109.4
EVT_01331,5,39.1,14.7,1,143.0
EVT_01788,32,3.4,53.2,34,35.1
EVT_01369,8,27.8,2.4,3,357.7
EVT_01491,23,47.9,38.8,15,97.2
EVT_01224,29,35.6,39.0,35,220.6
EVT_00523,12,13.5,0.0,0,101.8
EVT_00168,1,45.5,5.9,1,80.7
EVT_00439,0,21.9,50.2,3,104.4
EVT_01685,35,29.0,2004.0,3,103.6
EVT_01236,32,13.2,19.9,2,41.1
EVT_01385,3,17.0,13.8,2,101.3
EVT_00096,15,54.2,10.3,0,131.5
EVT_01156,21,49.0,26.8,4,71.3
EVT_01583,7,15.2,44.4,3,54.4
EVT_01772,23,28.0,27.1,32,90.2
EVT_01193,27,25.6,38.1,8,101.1
EVT_01969,17,48.2,50.1,2,113.0
EVT_01294,4,48.9,31.0,1,151.3
EVT_01535,5,31.9,16.6,1,198.6
EVT_00530,3,51.8,20.5,2,250.2
EVT_01477,8,52.0,18.4,4,91.8
EVT_01924,30,25.3,90.9,19,195.2
EVT_00121,42,20.5,51.7,15,86.1
EVT_00380,0,43.9,30.0,15,150.8
EVT_01885,25,14.1,69.3,7,69.1
EVT_01012,23,23.3,29.9,26,43.7
EVT_01756,23,48.8,39.9,39,56.8
EVT_01720,35,26.2,45.4,4,44.4
EVT_01342,18,34.0,17.6,6,259.0
EVT_00990,27,48.8,47.4,8,261.0
EVT_00835,10,42.7,30.1,0,240.5
EVT_00271,36,18.1,68.4,3,434.3
EVT_00896,21,34.6,48.0,11,222.7
EVT_01982,33,38.1,52.5,2,48.9
EVT_01976,23,16.8,39.2,15,148.2
EVT_00672,12,41.3,35.8,38,62.7
EVT_01586,40,14.6,33.5,18,108.6
EVT_00066,22,3.2,,5,2.5
EVT_00392,33,31.4,49.0,5,110.8
EVT_00453,17,37.8,17.7,0,226.5
EVT_01964,16,38.0,10.5,1,118.7
EVT_01038,6,39.7,10.7,0,46.8
EVT_00941,13,30.8,18.9,6,248.7
EVT_00738,17,32.2,39.1,3,392.6
EVT_00971,23,29.8,29.0,18,54.9
EVT_D0011,4,57.3,14.5,1,203.2
EVT_01170,6,46.9,12.0,1,245.1
EVT_01760,10,32.0,35.9,6,250.0
EVT_00470,52,,98.4,2,330.5
EVT_01855,23,29.8,31.8,4,420.6
EVT_00982,5,62.4,4.9,2,271.5
EVT_00501,4,67.3,20.7,0,358.3
EVT_00360,32,15.7,61.8,9,27.9
EVT_01037,0,17.7,68.1,3,
EVT_00290,14,27.4,36.4,1,84.8
EVT_01475,4,15.8,21.0,20,62.5
EVT_00632,15,61.0,36.8,11,251.0
EVT_01410,10,39.9,32.4,6,128.6
EVT_01304,8,30.4,11.6,1,67.2
EVT_01049,31,38.8,71.5,9,61.7
EVT_00028,35,15.8,48.4,7,84.3
