timestamp,station_id,temp_f,wind_mph,precip_in
2024-01-02 16:00:00,WS-02,88.7,20.7,1.7
2024-01-02 17:00:00,WS-02,43.0,21.6,0.33
2024-01-02 18:00:00,WS-03,80.6,11.1,1.46
2024-01-02 19:00:00,WS-03,55.0,17.9,1.05
2024-01-02 20:00:00,WS-02,67.5,21.7,1.96
2024-01-02 21:00:00,WS-01,54.5,1.1,1.11
2024-01-02 22:00:00,WS-03,70.7,14.3,0.05
2024-01-02 23:00:00,WS-02,57.7,21.3,1.21
2024-01-03 00:00:00,WS-03,56.7,10.0,0.29
2024-01-03 01:00:00,WS-03,41.9,7.6,1.6
2024-01-03 02:00:00,WS-03,47.3,19.9,1.71
2024-01-03 03:00:00,WS-03,85.9,8.4,0.96
2024-01-03 04:00:00,WS-03,89.9,0.1,1.57
2024-01-03 05:00:00,WS-01,79.0,24.0,0.29
2024-01-03 06:00:00,WS-01,54.3,14.8,0.98
2024-01-03 07:00:00,WS-01,60.1,20.5,0.79
2024-01-03 08:00:00,WS-02,77.0,20.6,1.22
2024-01-03 09:00:00,WS-01,88.4,1.7,0.09
2024-01-03 10:00:00,WS-01,62.8,4.3,1.5
2024-01-03 11:00:00,WS-02,81.5,7.8,0.16
2024-01-03 12:00:00,WS-01,88.8,8.0,1.31
2024-01-03 13:00:00,WS-03,83.7,16.5,0.04
2024-01-03 14:00:00,WS-01,51.4,15.6,1.66
2024-01-03 15:00:00,WS-01,40.4,12.4,0.35
2024-01-03 16:00:00,WS-01,64.6,5.3,1.03
2024-01-03 17:00:00,WS-03,66.6,9.5,0.52
2024-01-03 18:00:00,WS-03,50.1,13.6,1.45
2024-01-03 19:00:00,WS-03,54.2,11.7,0.64
2024-01-03 20:00:00,WS-03,78.3,3.2,1.45
2024-01-03 21:00:00,WS-02,63.5,16.2,0.57
2024-01-03 22:00:00,WS-03,55.9,1.8,1.5
2024-01-03 23:00:00,WS-03,71.1,9.5,0.06
2024-01-04 00:00:00,WS-03,72.6,17.8,0.57
2024-01-04 01:00:00,WS-03,78.5,0.5,1.0
2024-01-04 02:00:00,WS-02,47.8,14.2,0.09
2024-01-04 03:00:00,WS-01,77.1,8.4,0.37
2024-01-04 04:00:00,WS-01,70.0,0.2,1.87
2024-01-04 05:00:00,WS-03,42.9,4.8,1.95
2024-01-04 06:00:00,WS-03,78.9,23.5,1.48
2024-01-04 07:00:00,WS-03,59.2,13.0,0.5
2024-01-04 08:00:00,WS-01,56.5,24.9,0.52
2024-01-04 09:00:00,WS-01,62.4,13.1,1.29
2024-01-04 10:00:00,WS-03,57.3,13.6,0.24
2024-01-04 11:00:00,WS-01,56.9,9.8,1.9
2024-01-04 12:00:00,WS-02,80.4,7.8,0.45
2024-01-04 13:00:00,WS-03,46.2,6.3,2.0
2024-01-04 14:00:00,WS-03,88.5,8.6,0.99
2024-01-04 15:00:00,WS-02,67.7,11.5,1.54
2024-01-04 16:00:00,WS-02,49.1,4.8,0.0
2024-01-04 17:00:00,WS-01,46.6,5.6,1.78
2024-01-04 18:00:00,WS-02,69.6,6.8,0.54
2024-01-04 19:00:00,WS-03,71.6,11.2,1.34
2024-01-04 20:00:00,WS-01,42.7,16.3,1.61
2024-01-04 21:00:00,WS-02,52.2,21.4,0.33
2024-01-04 22:00:00,WS-01,79.8,7.2,0.89
2024-01-04 23:00:00,WS-01,42.5,4.6,0.99
2024-01-05 00:00:00,WS-01,82.8,9.5,0.62
2024-01-05 01:00:00,WS-01,72.9,22.4,0.96
2024-01-05 02:00:00,WS-02,61.7,0.2,0.64
2024-01-05 03:00:00,WS-03,57.3,16.9,0.72
2024-01-05 04:00:00,WS-03,41.0,11.9,1.34
2024-01-05 05:00:00,WS-02,81.3,4.0,1.27
2024-01-05 06:00:00,WS-03,47.1,8.0,0.46
2024-01-05 07:00:00,WS-01,55.5,5.6,1.79
2024-01-05 08:00:00,WS-01,68.5,21.9,1.73
2024-01-05 09:00:00,WS-01,52.3,12.0,1.02
2024-01-05 10:00:00,WS-02,64.9,14.1,0.87
2024-01-05 11:00:00,WS-01,80.5,14.8,0.75
2024-01-05 12:00:00,WS-01,63.5,16.0,1.41
2024-01-05 13:00:00,WS-02,87.4,12.4,1.34
2024-01-05 14:00:00,WS-01,82.4,0.4,0.39
2024-01-05 15:00:00,WS-01,56.7,8.4,1.34
2024-01-05 16:00:00,WS-03,60.0,4.6,0.5
2024-01-05 17:00:00,WS-02,61.2,17.0,0.04
2024-01-05 18:00:00,WS-01,71.3,1.4,1.4
2024-01-05 19:00:00,WS-01,54.3,14.1,1.29
2024-01-05 20:00:00,WS-01,88.5,5.3,0.82
2024-01-05 21:00:00,WS-01,70.4,23.7,1.05
2024-01-05 22:00:00,WS-03,60.0,8.4,1.89
2024-01-05 23:00:00,WS-03,72.3,8.1,1.19
2024-01-06 00:00:00,WS-03,59.8,23.1,1.32
2024-01-06 01:00:00,WS-03,80.9,10.4,0.13
2024-01-06 02:00:00,WS-02,68.4,24.1,0.33
2024-01-06 03:00:00,WS-01,42.1,0.6,0.6
2024-01-06 04:00:00,WS-03,48.8,7.7,1.08
2024-01-06 05:00:00,WS-01,83.2,16.7,1.55
2024-01-06 06:00:00,WS-02,68.1,22.3,0.64
2024-01-06 07:00:00,WS-01,87.5,6.4,0.71
2024-01-06 08:00:00,WS-01,43.6,23.3,0.51
2024-01-06 09:00:00,WS-03,54.8,14.9,0.51
2024-01-06 10:00:00,WS-03,49.7,20.0,1.9
2024-01-06 11:00:00,WS-02,67.7,9.9,1.27
2024-01-06 12:00:00,WS-01,59.1,5.3,0.31
2024-01-06 13:00:00,WS-03,47.9,22.8,1.44
2024-01-06 14:00:00,WS-03,72.1,23.3,1.44
2024-01-06 15:00:00,WS-03,66.8,12.4,1.33
2024-01-06 16:00:00,WS-02,53.7,0.2,0.27
2024-01-06 17:00:00,WS-01,64.0,2.7,0.82
2024-01-06 18:00:00,WS-03,77.3,14.3,0.21
2024-01-06 19:00:00,WS-01,50.3,0.6,1.63
2024-01-06 20:00:00,WS-02,54.6,9.9,1.31
2024-01-06 21:00:00,WS-01,57.3,7.6,1.01
2024-01-06 22:00:00,WS-03,77.3,17.9,0.69
2024-01-06 23:00:00,WS-01,82.3,1.4,0.37
2024-01-07 00:00:00,WS-01,58.8,12.2,0.21
2024-01-07 01:00:00,WS-02,54.8,14.5,1.94
2024-01-07 02:00:00,WS-02,84.5,15.4,0.4
2024-01-07 03:00:00,WS-01,90.0,10.1,0.12
2024-01-07 04:00:00,WS-01,73.5,7.6,1.92
2024-01-07 05:00:00,WS-01,89.5,17.1,1.1
2024-01-07 06:00:00,WS-02,73.0,21.2,1.59
2024-01-07 07:00:00,WS-02,76.7,17.3,0.09
2024-01-07 08:00:00,WS-01,59.4,23.3,1.13
2024-01-07 09:00:00,WS-02,61.6,17.9,0.8
2024-01-07 10:00:00,WS-03,47.2,19.1,1.54
2024-01-07 11:00:00,WS-02,81.1,4.2,0.08
2024-01-07 12:00:00,WS-02,86.6,10.5,0.8
2024-01-07 13:00:00,WS-02,71.2,12.1,1.6
2024-01-07 14:00:00,WS-03,57.2,6.4,1.05
2024-01-07 15:00:00,WS-03,47.7,13.2,1.1
2024-01-07 16:00:00,WS-03,53.3,7.3,0.19
2024-01-07 17:00:00,WS-01,52.8,17.2,0.26
2024-01-07 18:00:00,WS-01,70.7,11.8,1.35
2024-01-07 19:00:00,WS-03,87.3,11.5,1.35
2024-01-07 20:00:00,WS-01,42.4,24.6,1.96
2024-01-07 21:00:00,WS-01,40.1,9.8,1.42
2024-01-07 22:00:00,WS-01,70.0,9.1,0.99
2024-01-07 23:00:00,WS-03,54.2,8.0,1.71
2024-01-08 00:00:00,WS-02,84.0,22.4,0.21
2024-01-08 01:00:00,WS-03,56.4,12.4,0.9
2024-01-08 02:00:00,WS-03,54.5,15.0,0.57
2024-01-08 03:00:00,WS-01,53.5,4.5,0.21
2024-01-08 04:00:00,WS-01,47.2,13.5,1.53
2024-01-08 05:00:00,WS-02,69.1,6.9,1.02
2024-01-08 06:00:00,WS-02,48.4,18.3,1.11
2024-01-08 07:00:00,WS-02,61.2,20.8,0.82
2024-01-08 08:00:00,WS-02,63.0,17.9,0.92
2024-01-08 09:00:00,WS-03,41.0,18.3,0.23
2024-01-08 10:00:00,WS-02,40.8,12.8,1.35
2024-01-08 11:00:00,WS-03,66.0,17.8,0.86
2024-01-08 12:00:00,WS-01,74.8,10.6,1.63
2024-01-08 13:00:00,WS-02,87.1,16.3,0.39
2024-01-08 14:00:00,WS-01,49.0,6.5,0.41
2024-01-08 15:00:00,WS-01,45.2,1.7,1.29
2024-01-08 16:00:00,WS-03,42.6,10.3,1.69
2024-01-08 17:00:00,WS-02,61.8,11.5,0.94
2024-01-08 18:00:00,WS-03,71.2,6.4,1.45
2024-01-08 19:00:00,WS-01,82.0,18.2,2.0
2024-01-08 20:00:00,WS-02,74.1,1.8,1.98
2024-01-08 21:00:00,WS-01,50.4,5.6,1.49
2024-01-08 22:00:00,WS-01,63.1,18.7,1.48
2024-01-08 23:00:00,WS-02,85.5,10.9,0.5
2024-01-09 00:00:00,WS-02,56.3,17.6,1.67
2024-01-09 01:00:00,WS-02,64.9,14.2,0.81
2024-01-09 02:00:00,WS-03,87.9,23.8,1.92
2024-01-09 03:00:00,WS-03,76.7,14.9,0.16
2024-01-09 04:00:00,WS-01,77.4,0.4,0.87
2024-01-09 05:00:00,WS-02,52.6,8.8,1.11
2024-01-09 06:00:00,WS-01,60.7,3.6,0.81
2024-01-09 07:00:00,WS-01,44.1,23.1,0.42
