event_id,vehicle_count,avg_vehicle_speed_kmph,road_occupancy_pct,pedestrian_count,time_of_day_hr,visibility_m,rain_intensity_mmhr,signal_wait_time_s,road_wetness_pct,incident_distance_m,noise_level_db,ambient_temperature_c,humidity_pct,camera_exposure_score,camera_focus_score,lane_marking_visibility_pct,label
EVT_00019,19,17.2,47.0,13,13.31,2117.9,0.94,55,44.0,328.5,55.7,29.8,69.8,76.7,93.0,66.7,Free_Flow
EVT_00020,6,51.2,17.3,1,23.32,1888.8,0.0,28,8.8,63.3,49.7,23.3,66.6,37.2,83.3,75.7,Low_Activity
EVT_00021,0,35.3,9.9,5,9.31,2736.1,0.0,30,2.7,86.1,50.8,28.3,63.4,90.4,85.3,88.7,Free_Flow
EVT_00022,2,54.2,13.5,1,23.2,1049.3,0.0,3,23.3,207.0,56.2,22.1,69.8,0.0,77.3,79.5,Low_Activity
EVT_00023,30,30.6,34.1,4,18.55,2326.9,0.0,14,7.8,481.1,59.8,23.3,68.6,20.1,95.6,84.8,Free_Flow
EVT_00024,6,39.4,12.3,1,5.67,812.0,0.0,8,1.3,226.8,37.6,30.5,56.5,1.1,83.7,83.1,Low_Activity
EVT_00025,33,45.9,26.8,10,6.57,2507.8,0.0,10,5.5,189.2,67.3,21.6,51.5,35.1,79.2,87.9,Free_Flow
EVT_00026,19,34.8,14.5,4,11.02,2065.7,6.79,19,19.2,112.3,62.1,31.8,64.4,74.7,82.4,90.3,Free_Flow
EVT_00027,12,17.4,8.5,12,14.2,1618.3,0.0,24,0.2,138.1,56.6,30.5,51.3,75.1,93.9,82.7,Pedestrian_Event
EVT_00028,35,15.8,48.4,7,9.34,1873.4,0.0,99,1.0,84.3,62.5,22.6,55.0,73.2,86.4,97.1,Heavy_Traffic
EVT_00029,0,72.9,16.1,2,0.98,835.5,0.28,33,49.9,107.5,54.2,22.7,80.1,27.0,91.6,83.8,Free_Flow
EVT_00030,38,25.8,66.2,11,7.78,1582.8,12.37,61,83.0,145.7,62.1,21.5,82.1,37.6,87.3,71.3,Heavy_Traffic
EVT_00031,10,32.1,35.3,7,16.02,2259.8,0.0,24,1.8,103.6,48.8,32.4,55.5,62.3,88.0,80.9,Free_Flow
EVT_00032,17,42.2,46.2,4,20.89,1090.7,2.56,45,15.2,37.2,54.0,25.4,68.0,24.0,100.0,89.4,Free_Flow
EVT_00033,21,29.7,46.9,4,13.48,2283.1,0.0,55,1.5,66.9,48.2,30.9,60.2,71.8,92.2,79.0,Pedestrian_Event
EVT_00034,35,10.1,64.5,22,7.19,229.0,28.38,45,74.7,54.3,69.2,17.3,100.0,36.3,77.0,59.1,Heavy_Traffic
EVT_00035,33,7.3,67.0,8,8.31,2638.2,0.0,97,11.8,67.1,55.4,22.1,66.5,51.4,84.8,100.0,Heavy_Traffic
EVT_00036,27,11.9,39.8,29,13.01,1825.2,7.16,59,70.5,400.8,63.9,31.2,85.1,84.2,83.3,77.5,Pedestrian_Event
EVT_00037,11,9.9,76.7,8,17.8,2206.9,0.0,43,4.6,2.6,54.5,30.2,58.0,35.9,87.7,97.1,Incident
EVT_00038,7,17.0,65.2,10,11.07,1946.5,4.57,47,50.4,20.9,55.6,28.4,72.8,88.7,85.6,72.9,Incident
EVT_00039,21,28.1,58.7,5,8.94,1932.0,4.84,69,54.7,393.9,59.9,27.1,56.4,60.5,69.6,79.2,Heavy_Traffic
EVT_00040,46,13.0,77.7,12,12.39,2038.8,0.41,126,29.6,117.8,69.7,30.7,66.7,83.3,89.3,85.4,Heavy_Traffic
EVT_00041,42,15.3,48.5,1,20.65,949.7,0.0,34,0.1,120.0,56.9,26.7,62.5,15.5,75.5,71.3,Incident
EVT_00042,46,25.6,82.4,7,9.53,1567.7,9.42,100,74.7,294.8,62.9,24.2,83.1,70.9,92.0,68.1,Heavy_Traffic
EVT_00043,15,63.5,29.8,3,5.98,1212.3,0.0,38,3.0,69.4,53.5,27.9,42.7,4.9,81.9,85.7,Free_Flow
EVT_00044,25,47.0,24.0,6,8.26,2355.5,0.0,18,3.3,246.9,53.7,22.0,84.2,77.0,82.9,88.0,Free_Flow
EVT_00045,39,18.7,46.9,3,17.0,1512.8,10.85,51,49.7,195.2,69.3,28.3,90.9,58.9,81.6,81.4,Heavy_Traffic
EVT_00046,25,24.9,31.9,15,10.28,2108.2,0.0,28,1.6,40.5,67.6,28.8,67.7,70.2,84.6,85.0,Pedestrian_Event
EVT_00047,17,58.2,36.1,3,7.13,2660.3,0.0,28,0.8,298.6,54.4,19.6,56.1,43.9,88.5,84.3,Free_Flow
EVT_00048,36,12.8,39.8,8,20.32,874.2,6.85,107,70.3,54.4,65.6,28.4,73.0,19.5,85.1,60.6,Heavy_Traffic
EVT_00049,38,30.0,37.9,32,19.63,617.6,0.0,0,1.6,131.0,64.7,28.8,50.1,19.7,100.0,93.6,Pedestrian_Event
EVT_00050,12,31.3,18.9,5,19.34,1100.3,0.0,8,4.8,108.4,36.7,24.3,69.9,12.6,89.0,90.6,Free_Flow
EVT_00051,13,43.8,11.5,2,14.63,2100.1,0.0,19,12.6,57.8,44.8,27.8,69.5,75.7,89.1,100.0,Free_Flow
EVT_00052,15,14.6,73.3,24,16.15,2211.4,0.0,27,3.9,78.1,51.2,30.4,64.6,44.0,88.6,100.0,Pedestrian_Event
EVT_00053,3,35.5,35.7,24,15.08,2533.9,0.0,19,14.8,45.0,56.2,34.8,46.8,78.2,89.0,74.4,Pedestrian_Event
EVT_00054,40,0.0,46.3,4,13.1,2653.8,0.0,25,15.1,97.3,66.0,29.0,65.9,60.2,100.0,95.3,Incident
EVT_00055,5,79.4,0.0,2,9.25,2234.8,0.0,24,0.9,438.7,55.6,25.6,60.6,71.8,96.5,93.6,Low_Activity
EVT_00056,25,4.4,69.4,6,9.35,1827.1,0.0,99,30.8,190.7,55.4,34.4,73.2,65.0,81.6,84.0,Heavy_Traffic
EVT_00057,25,34.8,30.9,13,12.85,2075.7,8.91,51,55.7,303.4,62.4,24.7,68.3,65.7,70.2,76.1,Pedestrian_Event
EVT_00058,39,30.9,48.9,22,20.32,1253.7,0.0,49,0.5,230.1,55.9,22.3,66.7,22.0,81.4,85.7,Pedestrian_Event
EVT_00059,11,11.2,40.8,2,1.68,1319.0,0.0,52,7.4,12.5,38.7,21.5,59.6,34.4,83.6,66.4,Incident
EVT_00060,27,31.6,45.3,10,20.54,434.9,2.58,19,55.1,46.7,59.4,23.0,85.2,17.1,92.3,77.1,Pedestrian_Event
EVT_00061,5,18.0,32.9,18,11.51,2382.9,0.0,14,1.0,214.3,45.0,32.0,65.3,79.5,83.1,93.2,Pedestrian_Event
EVT_00062,6,16.2,48.0,1,5.65,929.6,0.0,0,12.9,2.4,44.7,19.4,66.2,4.3,68.4,92.9,Incident
EVT_00063,38,28.5,50.5,4,18.07,1718.4,8.21,74,58.5,290.7,64.5,27.0,79.8,30.5,83.2,76.0,Heavy_Traffic
EVT_00064,36,23.6,83.0,7,15.99,2206.5,0.0,60,0.8,279.2,65.3,25.3,70.3,60.1,84.5,77.9,Heavy_Traffic
EVT_00065,24,25.9,48.8,14,6.91,2205.6,0.0,31,3.2,11.2,56.0,24.1,57.8,39.0,74.0,92.8,Incident
EVT_00066,22,3.2,33.5,5,8.08,2026.1,0.0,74,17.6,2.5,45.0,20.0,63.2,41.3,89.1,84.8,Incident
EVT_00067,32,37.5,34.2,2,5.5,966.3,7.61,23,53.4,406.2,66.0,23.8,66.8,12.7,100.0,81.3,Free_Flow
EVT_00068,4,52.9,1.5,1,4.03,1064.6,3.68,8,25.8,75.8,49.6,18.1,82.3,26.9,98.8,100.0,Low_Activity
EVT_00069,16,27.7,41.5,7,17.83,1078.7,14.35,25,53.9,129.4,62.4,23.7,97.2,45.6,84.2,47.3,Free_Flow
EVT_00070,35,19.7,61.6,5,19.74,605.3,0.0,72,1.6,192.8,53.9,21.3,68.6,20.0,86.3,94.9,Heavy_Traffic
EVT_00071,22,54.3,37.0,7,10.31,2095.2,0.0,10,2.7,389.5,62.2,28.0,52.3,80.3,90.3,92.4,Free_Flow
EVT_00072,21,1.2,66.5,3,17.54,1669.8,0.0,52,0.7,41.6,54.6,28.0,59.6,52.1,89.0,78.6,Heavy_Traffic
EVT_00073,31,19.4,78.6,9,9.83,2249.0,0.11,48,32.7,36.8,47.7,28.1,56.4,74.6,74.3,91.8,Heavy_Traffic
EVT_00074,30,8.9,58.0,5,17.95,2285.8,0.0,47,6.6,389.3,52.3,31.7,64.1,2.9,94.9,62.0,Heavy_Traffic
EVT_00075,20,12.9,32.8,4,6.15,1495.1,0.0,59,11.8,55.7,47.4,26.7,52.2,47.0,85.8,73.1,Pedestrian_Event
EVT_00076,13,15.1,28.8,39,10.13,1472.7,4.48,43,40.3,74.7,44.7,24.6,74.3,63.3,92.8,70.1,Pedestrian_Event
EVT_00077,21,46.6,29.9,1,21.37,710.8,0.0,4,1.1,197.8,57.0,27.1,62.9,13.8,86.2,83.4,Free_Flow
EVT_00078,20,50.0,33.9,7,14.53,1824.4,0.0,27,9.6,51.7,50.3,35.3,57.3,61.3,94.9,96.4,Free_Flow
EVT_00079,7,49.1,8.2,4,22.39,841.4,0.0,23,17.1,104.2,47.2,20.7,72.3,25.5,86.8,72.6,Free_Flow
EVT_00080,28,8.6,45.0,2,22.01,967.4,0.68,55,43.5,38.9,44.5,24.6,58.4,19.6,86.4,57.9,Heavy_Traffic
EVT_00081,16,38.9,23.1,4,5.47,1573.8,0.0,24,14.3,44.9,55.4,19.9,78.3,8.5,80.0,85.7,Free_Flow
EVT_00082,18,45.2,33.7,4,13.29,2172.6,0.0,24,7.4,89.2,53.5,32.4,67.9,81.3,100.0,87.2,Free_Flow
EVT_00083,5,45.0,17.9,0,2.74,1913.1,0.0,15,3.2,70.4,44.6,18.0,62.6,9.6,95.8,91.5,Low_Activity
EVT_00084,8,40.0,15.8,13,7.11,1843.2,3.42,30,35.1,41.1,49.0,22.9,73.1,22.3,84.6,83.4,Free_Flow
EVT_00085,32,13.9,72.3,5,18.07,2403.6,0.0,60,0.9,258.2,56.9,27.6,49.3,34.3,80.2,92.7,Heavy_Traffic
EVT_00086,4,64.0,5.6,2,2.89,1104.9,2.27,26,27.1,442.1,55.8,23.6,59.6,23.7,87.9,89.9,Low_Activity
EVT_00087,3,59.6,13.0,1,22.61,809.0,0.0,0,9.0,182.1,57.1,25.3,66.4,27.7,100.0,93.8,Free_Flow
EVT_00088,38,35.1,24.7,0,6.28,2331.0,3.35,0,56.3,150.4,61.2,28.4,71.2,45.4,88.0,87.8,Heavy_Traffic
EVT_00089,10,38.6,12.7,1,3.56,1159.2,0.0,22,1.8,187.3,41.8,23.3,55.9,18.1,80.8,100.0,Low_Activity
EVT_00090,24,38.0,63.0,35,18.05,1743.8,6.58,22,23.2,106.1,63.4,37.3,77.7,45.9,83.1,74.0,Pedestrian_Event
EVT_00091,21,36.1,31.5,9,8.66,1447.6,0.97,0,32.9,53.6,48.3,26.4,59.7,48.8,82.7,84.1,Free_Flow
EVT_00092,4,26.6,36.0,0,13.39,1195.5,13.13,31,70.8,44.5,64.4,22.9,75.1,92.0,93.7,61.8,Pedestrian_Event
EVT_00093,36,26.6,96.5,6,17.57,1862.1,0.0,34,10.3,47.0,51.8,27.0,64.9,51.2,85.0,91.0,Heavy_Traffic
EVT_00094,29,35.0,33.5,17,18.75,2110.7,0.0,53,0.4,422.9,56.7,29.4,68.2,17.0,72.2,73.7,Pedestrian_Event
EVT_00095,9,32.8,13.7,0,23.23,980.2,0.0,14,6.4,128.9,47.8,20.6,71.9,11.6,94.2,100.0,Low_Activity
EVT_00096,15,54.2,10.3,0,3.6,854.5,0.0,12,12.5,131.5,51.3,22.4,67.4,21.6,84.7,93.9,Low_Activity
EVT_00097,23,41.9,24.9,4,12.53,1656.2,8.12,15,57.8,129.8,63.8,27.6,60.2,91.1,94.3,89.6,Free_Flow
EVT_00098,3,48.3,11.4,2,9.11,2324.6,2.28,28,42.4,72.6,57.4,25.5,72.6,71.2,93.5,83.9,Low_Activity
EVT_00099,15,24.5,57.2,6,15.95,1162.1,10.11,23,65.8,83.9,62.5,25.0,68.2,69.5,79.0,68.6,Incident
EVT_00100,23,18.6,38.8,33,7.12,2181.4,6.53,71,41.2,208.7,58.2,22.5,68.1,42.2,86.0,90.4,Pedestrian_Event
EVT_00101,22,43.0,18.9,5,20.16,1231.6,0.0,7,15.3,68.0,54.5,24.4,64.6,13.6,88.0,74.5,Free_Flow
EVT_00102,20,17.0,44.8,2,8.53,1765.1,0.0,89,2.1,6.2,56.1,24.5,66.0,77.4,89.8,74.8,Incident
EVT_00103,3,41.4,47.1,8,19.15,819.9,0.0,10,11.5,45.7,44.3,32.6,61.4,18.1,89.0,57.0,Free_Flow
EVT_00104,26,17.0,54.9,2,21.3,876.7,0.0,34,6.1,19.0,51.4,21.3,56.0,5.7,99.0,80.6,Incident
EVT_00105,26,3.1,80.8,3,8.19,2175.5,0.92,32,26.8,38.9,52.7,19.2,70.9,68.2,77.0,93.0,Heavy_Traffic
EVT_00106,2,44.8,52.6,28,15.34,1817.0,2.46,61,33.9,215.7,50.7,30.5,62.9,95.6,90.2,80.0,Pedestrian_Event
EVT_00107,36,17.6,65.2,20,17.44,2232.5,0.0,84,2.2,153.9,54.9,30.8,73.4,20.9,88.1,78.6,Heavy_Traffic
EVT_00108,43,24.2,43.7,3,8.51,2452.6,0.0,110,0.7,180.9,54.0,33.8,50.5,70.8,93.3,82.4,Heavy_Traffic
EVT_00109,41,22.6,56.4,6,8.39,2199.2,3.86,67,41.5,230.5,71.4,24.2,73.2,54.9,79.3,67.9,Heavy_Traffic
EVT_00110,22,32.3,15.2,15,11.48,2834.1,0.0,21,0.3,67.1,56.6,21.7,53.8,75.1,79.8,95.7,Pedestrian_Event
EVT_00111,31,10.9,72.1,2,21.32,680.0,0.25,62,41.7,148.3,51.6,29.0,61.4,15.5,86.3,90.0,Heavy_Traffic
EVT_00112,29,31.0,80.4,3,15.69,1097.3,7.4,16,51.3,54.3,59.0,33.1,78.8,66.2,75.9,74.2,Incident
EVT_00113,5,56.7,21.4,0,4.31,1352.0,0.85,10,32.0,268.9,46.7,21.1,71.0,41.5,76.5,79.9,Low_Activity
EVT_00114,25,43.4,30.6,10,9.7,2257.5,0.0,24,6.8,179.4,56.0,27.7,74.6,73.8,96.4,97.0,Free_Flow
EVT_00115,22,34.6,10.6,1,2.32,995.2,0.0,0,23.2,453.4,52.9,16.4,72.9,32.0,89.7,83.6,Low_Activity
EVT_00116,19,17.7,45.3,5,15.75,1929.7,0.0,48,4.9,35.5,47.7,29.9,56.7,55.2,83.6,100.0,Incident
EVT_00117,4,27.1,20.4,3,4.04,1343.4,0.0,24,4.6,191.2,52.9,26.9,53.0,34.6,81.1,100.0,Low_Activity
EVT_00118,29,27.4,22.9,14,9.29,2315.5,0.0,47,0.1,43.4,66.0,29.1,62.6,76.1,81.0,90.5,Pedestrian_Event
EVT_00119,28,20.7,51.2,13,15.55,2345.4,0.0,44,9.4,6.5,54.8,32.7,66.1,63.3,99.3,92.8,Incident
EVT_00120,6,18.3,40.3,26,7.35,2143.8,0.0,53,2.1,90.0,45.8,24.9,55.9,39.1,79.1,80.4,Pedestrian_Event
EVT_00121,42,20.5,51.7,15,20.07,1063.9,0.0,50,7.8,86.1,53.3,27.6,52.6,18.7,93.9,72.4,Heavy_Traffic
EVT_00122,30,12.2,60.6,15,16.9,2142.0,4.41,34,41.0,7.6,58.7,32.1,56.8,44.2,97.3,71.3,Incident
EVT_00123,1,51.1,5.2,1,22.8,696.3,0.0,24,9.4,87.2,45.9,20.5,63.4,21.2,77.8,87.6,Low_Activity
EVT_00124,1,13.7,5.9,1,0.54,863.3,3.27,5,38.3,184.1,52.4,17.5,73.1,23.1,82.3,82.2,Free_Flow
EVT_00125,6,55.7,10.6,1,23.02,1186.9,0.0,11,26.1,267.6,56.2,22.2,68.6,28.6,92.8,84.5,Low_Activity
EVT_00126,3,29.8,0.0,1,14.29,1766.4,0.0,22,6.0,102.6,48.1,32.3,60.7,81.1,79.1,91.7,Low_Activity
EVT_00127,0,49.2,4.6,0,2.9,986.9,0.0,13,3.4,101.2,49.4,15.3,56.5,13.6,85.9,79.7,Low_Activity
EVT_00128,24,19.6,51.6,4,22.5,874.2,0.1,37,39.1,97.9,48.8,18.7,60.8,27.8,98.5,84.3,Incident
EVT_00129,22,27.3,54.2,11,5.13,1027.3,0.0,67,10.1,35.1,58.3,30.9,63.5,24.2,89.9,100.0,Pedestrian_Event
EVT_00130,4,62.1,9.4,4,21.54,1055.4,2.3,3,46.4,382.5,53.7,20.3,62.2,25.4,100.0,89.4,Low_Activity
EVT_00131,9,42.1,2.3,1,1.79,1092.8,1.83,13,46.3,270.8,49.3,19.6,83.7,27.0,77.1,78.5,Low_Activity
EVT_00132,17,23.6,58.4,6,7.02,1333.6,7.62,7,57.9,4.6,65.4,23.2,68.3,24.5,85.2,90.7,Incident
EVT_00133,26,18.8,71.1,21,9.11,2304.1,0.59,85,32.3,145.0,55.2,27.4,70.4,57.1,91.4,87.4,Heavy_Traffic
EVT_00134,43,23.8,71.3,7,9.43,2341.2,0.0,115,4.9,49.3,61.9,27.7,77.9,57.9,87.5,83.6,Heavy_Traffic
EVT_00135,2,25.2,23.7,1,22.77,749.9,0.0,29,8.5,166.2,50.1,21.6,61.7,0.0,92.5,96.0,Free_Flow
EVT_00136,16,64.4,31.6,13,11.13,1898.4,8.97,20,44.1,422.1,61.1,22.3,90.6,75.6,93.8,77.4,Free_Flow
EVT_00137,22,32.3,35.7,5,10.59,2355.2,0.0,50,5.0,13.9,47.4,28.7,65.0,83.2,90.3,72.8,Incident
EVT_00138,12,50.2,32.7,7,9.6,2284.0,0.0,0,6.2,43.9,61.0,24.2,58.2,68.8,78.0,79.4,Free_Flow
EVT_00139,33,15.3,72.8,3,9.18,2259.8,0.0,81,3.0,36.9,60.2,27.2,62.1,74.5,93.0,100.0,Heavy_Traffic
EVT_00140,28,57.3,35.8,22,9.09,2014.1,0.0,33,3.7,38.0,68.5,23.8,59.8,48.5,80.3,75.2,Pedestrian_Event
EVT_00141,14,24.0,51.6,19,14.26,2091.1,0.0,32,7.8,176.4,51.7,27.1,65.5,55.7,82.7,98.0,Pedestrian_Event
EVT_00142,43,14.0,46.5,5,10.02,2484.7,0.0,9,20.4,121.2,51.9,24.2,76.2,93.9,76.9,85.6,Free_Flow
EVT_00143,16,25.1,17.8,5,12.74,1665.9,3.2,0,50.7,80.0,55.8,29.7,72.8,84.5,83.7,76.0,Free_Flow
EVT_00144,46,26.8,65.1,8,17.35,1869.7,2.63,39,59.5,155.2,66.4,32.0,67.6,39.7,84.7,67.0,Heavy_Traffic
EVT_00145,39,53.5,20.9,3,14.2,2279.3,0.0,0,2.9,44.6,64.2,30.0,63.3,62.4,91.4,80.3,Heavy_Traffic
EVT_00146,3,39.9,3.0,2,6.91,2392.9,0.0,28,0.7,54.1,56.6,20.6,65.5,29.2,82.9,89.4,Low_Activity
EVT_00147,7,45.7,32.1,24,9.72,1755.3,0.0,55,2.0,82.7,44.8,26.2,49.2,98.5,74.0,81.7,Pedestrian_Event
EVT_00148,32,15.0,56.6,4,9.86,1480.5,0.0,60,1.5,116.7,61.5,22.4,52.7,64.3,78.1,98.9,Heavy_Traffic
EVT_00149,4,16.4,11.6,0,23.12,1136.0,0.0,39,3.7,84.1,45.3,20.5,73.3,13.1,79.8,97.8,Low_Activity
EVT_00150,24,4.3,69.2,16,12.32,1715.2,3.54,23,30.3,53.0,52.5,25.7,73.2,95.2,79.2,86.7,Heavy_Traffic
EVT_00151,14,12.2,44.5,29,18.44,2131.8,0.0,47,1.6,182.9,58.3,28.4,58.3,33.2,79.7,100.0,Pedestrian_Event
EVT_00152,25,38.0,31.1,8,18.17,1722.9,12.41,5,60.9,52.5,67.4,29.5,75.2,33.7,100.0,70.9,Free_Flow
EVT_00153,15,23.5,41.9,29,12.96,1993.5,2.68,40,39.1,38.0,51.5,32.2,69.2,90.7,91.4,88.9,Free_Flow
EVT_00154,1,43.6,23.3,3,22.65,968.5,0.0,22,17.0,217.3,54.3,20.9,53.1,15.1,91.7,100.0,Low_Activity
EVT_00155,24,48.8,28.3,3,14.13,2453.2,0.0,31,36.9,46.4,64.9,36.4,61.0,82.3,90.2,80.0,Free_Flow
EVT_00156,16,10.5,65.2,4,8.56,1908.9,0.0,44,1.8,76.4,56.7,22.8,66.8,59.7,78.1,85.9,Incident
EVT_00157,28,12.8,77.6,2,1.61,1157.8,0.0,60,8.7,8.3,50.8,25.4,71.8,25.0,76.0,72.0,Incident
EVT_00158,8,10.7,5.7,1,10.1,1108.5,18.8,39,75.2,61.5,61.2,25.5,89.0,66.4,99.4,72.6,Low_Activity
EVT_00159,4,21.6,35.0,7,6.39,2338.0,0.0,39,11.1,420.4,57.3,21.2,78.9,38.7,100.0,78.9,Free_Flow
EVT_00160,11,41.0,58.2,26,15.73,2182.3,2.52,46,54.5,37.4,54.2,33.1,67.6,53.4,78.1,73.9,Pedestrian_Event
EVT_00161,5,39.0,18.9,0,22.61,1069.1,0.18,17,41.2,59.9,42.2,25.1,82.4,24.3,83.1,86.5,Low_Activity
EVT_00162,54,8.6,56.1,7,10.33,1068.7,15.82,42,64.2,254.9,72.1,23.5,97.2,68.0,79.0,67.6,Heavy_Traffic
EVT_00163,17,44.5,34.1,0,11.87,2355.6,0.0,29,6.1,56.5,50.9,40.0,49.3,82.9,74.8,92.1,Free_Flow
EVT_00164,7,60.7,43.8,2,10.7,2722.1,0.69,21,15.3,395.7,44.2,32.1,60.6,72.7,81.8,92.3,Free_Flow
EVT_00165,4,40.5,7.2,1,3.43,666.4,0.0,21,4.6,148.4,43.8,23.5,46.3,3.3,85.0,80.8,Low_Activity
EVT_00166,3,32.2,2.7,0,4.03,1213.3,0.0,2,6.9,136.4,45.3,26.0,62.2,34.0,82.0,87.2,Low_Activity
EVT_00167,16,34.5,46.4,8,7.11,1968.0,0.0,3,12.2,199.2,46.8,23.2,51.8,48.5,88.8,100.0,Heavy_Traffic
EVT_00168,1,45.5,5.9,1,1.85,712.7,3.19,40,29.8,80.7,48.2,21.5,71.1,31.9,81.4,87.7,Low_Activity
EVT_00169,10,52.3,9.4,1,23.74,807.2,0.5,17,46.7,201.7,40.9,20.6,59.2,31.9,76.2,85.6,Low_Activity
EVT_00170,6,57.8,3.6,0,3.51,965.0,0.0,24,1.7,98.6,53.7,25.4,69.8,23.2,99.5,71.5,Free_Flow
EVT_00171,24,21.8,66.3,6,7.06,1509.8,1.18,70,40.9,117.3,64.3,24.3,72.8,50.7,76.6,90.5,Heavy_Traffic
EVT_00172,22,48.7,29.7,7,10.2,2243.1,1.22,15,5.0,339.6,56.7,30.2,62.8,89.2,83.8,94.5,Free_Flow
EVT_00173,32,23.6,78.6,7,7.9,2129.7,0.0,65,0.4,178.4,65.0,20.6,61.6,53.9,100.0,87.9,Heavy_Traffic
EVT_00174,12,36.9,24.2,0,1.23,1285.7,0.23,13,35.0,151.4,50.9,21.6,67.0,9.6,93.4,84.2,Low_Activity
EVT_00175,17,14.6,74.2,11,17.17,1804.4,0.0,96,1.5,81.1,56.4,27.4,52.6,63.4,86.8,85.8,Heavy_Traffic
EVT_00176,26,43.7,34.3,4,13.56,972.6,17.63,21,71.5,147.4,65.9,21.8,94.4,87.1,87.8,68.7,Free_Flow
EVT_00177,12,61.2,41.9,9,12.66,1715.6,3.93,17,57.0,50.3,56.5,37.4,49.0,77.4,86.0,71.9,Free_Flow
EVT_00178,38,23.5,48.2,6,18.15,2134.1,0.0,65,5.1,152.9,55.6,27.9,63.0,63.6,88.3,100.0,Heavy_Traffic
EVT_00179,31,22.7,62.6,8,19.53,570.6,0.0,18,3.6,160.3,57.2,30.0,46.4,0.0,91.5,84.5,Heavy_Traffic
EVT_00180,41,15.3,80.1,8,17.98,1414.5,10.46,65,52.9,92.1,75.8,27.5,83.7,19.4,80.0,67.7,Heavy_Traffic
EVT_00181,7,3.7,25.8,14,15.52,1457.5,4.47,10,60.2,343.4,40.2,27.2,83.1,69.3,87.4,68.8,Pedestrian_Event
EVT_00182,17,40.5,28.5,3,5.17,632.9,0.0,30,1.2,79.2,54.5,20.2,82.5,21.1,77.1,87.5,Free_Flow
EVT_00183,9,20.0,44.8,15,7.58,2368.0,0.0,36,0.3,112.7,48.5,24.8,75.5,47.0,94.8,97.3,Pedestrian_Event
EVT_00184,29,12.2,14.5,6,4.73,1252.4,0.0,41,21.6,7.5,45.6,24.9,74.8,23.6,97.2,92.6,Incident
EVT_00185,28,15.5,46.2,16,12.46,1685.6,0.0,37,13.5,406.3,55.4,36.8,68.8,85.8,85.8,97.9,Pedestrian_Event
