event_id,road_occupancy_pct,pedestrian_count,vehicle_count,avg_vehicle_speed_kmph,signal_wait_time_s,time_of_day_hr,noise_level_db,ambient_temperature_c,camera_exposure_score,humidity_pct,label
EVT_00054,46.3,4,40,0.0,25,13.1,66.0,29.0,60.2,65.9,Incident
EVT_00055,0.0,2,5,79.4,24,9.25,55.6,25.6,71.8,60.6,Low_Activity
EVT_00056,69.4,6,25,4.4,99,9.35,55.4,34.4,65.0,73.2,Heavy_Traffic
EVT_00057,30.9,13,25,34.8,51,12.85,62.4,24.7,65.7,68.3,Pedestrian_Event
EVT_00058,48.9,22,39,30.9,49,20.32,55.9,22.3,22.0,66.7,Pedestrian_Event
EVT_00059,40.8,2,11,11.2,52,1.68,38.7,21.5,34.4,59.6,Incident
EVT_00060,45.3,10,27,31.6,19,20.54,59.4,23.0,17.1,85.2,Pedestrian_Event
EVT_00061,32.9,18,5,18.0,14,11.51,45.0,32.0,79.5,65.3,Pedestrian_Event
EVT_00062,48.0,1,6,16.2,0,5.65,44.7,19.4,4.3,66.2,Incident
EVT_00063,50.5,4,38,28.5,74,18.07,64.5,27.0,30.5,79.8,Heavy_Traffic
EVT_00064,83.0,7,36,23.6,60,15.99,65.3,25.3,60.1,70.3,Heavy_Traffic
EVT_00065,48.8,14,24,25.9,31,6.91,56.0,24.1,39.0,57.8,Incident
EVT_00066,33.5,5,22,3.2,74,8.08,45.0,20.0,41.3,63.2,Incident
EVT_00067,34.2,2,32,37.5,23,5.5,66.0,23.8,12.7,66.8,Free_Flow
EVT_00068,1.5,1,4,52.9,8,4.03,49.6,18.1,26.9,82.3,Low_Activity
EVT_00069,41.5,7,16,27.7,25,17.83,62.4,23.7,45.6,97.2,Free_Flow
EVT_00070,61.6,5,35,19.7,72,19.74,53.9,21.3,20.0,68.6,Heavy_Traffic
EVT_00071,37.0,7,22,54.3,10,10.31,62.2,28.0,80.3,52.3,Free_Flow
EVT_00072,66.5,3,21,1.2,52,17.54,54.6,28.0,52.1,59.6,Heavy_Traffic
EVT_00073,78.6,9,31,19.4,48,9.83,47.7,28.1,74.6,56.4,Heavy_Traffic
EVT_00074,58.0,5,30,8.9,47,17.95,52.3,31.7,2.9,64.1,Heavy_Traffic
EVT_00075,32.8,4,20,12.9,59,6.15,47.4,26.7,47.0,52.2,Pedestrian_Event
EVT_00076,28.8,39,13,15.1,43,10.13,44.7,24.6,63.3,74.3,Pedestrian_Event
EVT_00077,29.9,1,21,46.6,4,21.37,57.0,27.1,13.8,62.9,Free_Flow
EVT_00078,33.9,7,20,50.0,27,14.53,50.3,35.3,61.3,57.3,Free_Flow
EVT_00079,8.2,4,7,49.1,23,22.39,47.2,20.7,25.5,72.3,Free_Flow
EVT_00080,45.0,2,28,8.6,55,22.01,44.5,24.6,19.6,58.4,Heavy_Traffic
EVT_00081,23.1,4,16,38.9,24,5.47,55.4,19.9,8.5,78.3,Free_Flow
EVT_00082,33.7,4,18,45.2,24,13.29,53.5,32.4,81.3,67.9,Free_Flow
EVT_00083,17.9,0,5,45.0,15,2.74,44.6,18.0,9.6,62.6,Low_Activity
EVT_00084,15.8,13,8,40.0,30,7.11,49.0,22.9,22.3,73.1,Free_Flow
EVT_00085,72.3,5,32,13.9,60,18.07,56.9,27.6,34.3,49.3,Heavy_Traffic
EVT_00086,5.6,2,4,64.0,26,2.89,55.8,23.6,23.7,59.6,Low_Activity
EVT_00087,13.0,1,3,59.6,0,22.61,57.1,25.3,27.7,66.4,Free_Flow
EVT_00088,24.7,0,38,35.1,0,6.28,61.2,28.4,45.4,71.2,Heavy_Traffic
EVT_00089,12.7,1,10,38.6,22,3.56,41.8,23.3,18.1,55.9,Low_Activity
EVT_00090,63.0,35,24,38.0,22,18.05,63.4,37.3,45.9,77.7,Pedestrian_Event
EVT_00091,31.5,9,21,36.1,0,8.66,48.3,26.4,48.8,59.7,Free_Flow
EVT_00092,36.0,0,4,26.6,31,13.39,64.4,22.9,92.0,75.1,Pedestrian_Event
EVT_00093,96.5,6,36,26.6,34,17.57,51.8,27.0,51.2,64.9,Heavy_Traffic
EVT_00094,33.5,17,29,35.0,53,18.75,56.7,29.4,17.0,68.2,Pedestrian_Event
EVT_00095,13.7,0,9,32.8,14,23.23,47.8,20.6,11.6,71.9,Low_Activity
EVT_00096,10.3,0,15,54.2,12,3.6,51.3,22.4,21.6,67.4,Low_Activity
EVT_00097,24.9,4,23,41.9,15,12.53,63.8,27.6,91.1,60.2,Free_Flow
EVT_00098,11.4,2,3,48.3,28,9.11,57.4,25.5,71.2,72.6,Low_Activity
EVT_00099,57.2,6,15,24.5,23,15.95,62.5,25.0,69.5,68.2,Incident
EVT_00100,38.8,33,23,18.6,71,7.12,58.2,22.5,42.2,68.1,Pedestrian_Event
EVT_00101,18.9,5,22,43.0,7,20.16,54.5,24.4,13.6,64.6,Free_Flow
EVT_00102,44.8,2,20,17.0,89,8.53,56.1,24.5,77.4,66.0,Incident
EVT_00103,47.1,8,3,41.4,10,19.15,44.3,32.6,18.1,61.4,Free_Flow
EVT_00104,54.9,2,26,17.0,34,21.3,51.4,21.3,5.7,56.0,Incident
EVT_00105,80.8,3,26,3.1,32,8.19,52.7,19.2,68.2,70.9,Heavy_Traffic
EVT_00106,52.6,28,2,44.8,61,15.34,50.7,30.5,95.6,62.9,Pedestrian_Event
EVT_00107,65.2,20,36,17.6,84,17.44,54.9,30.8,20.9,73.4,Heavy_Traffic
EVT_00108,43.7,3,43,24.2,110,8.51,54.0,33.8,70.8,50.5,Heavy_Traffic
EVT_00109,56.4,6,41,22.6,67,8.39,71.4,24.2,54.9,73.2,Heavy_Traffic
EVT_00110,15.2,15,22,32.3,21,11.48,56.6,21.7,75.1,53.8,Pedestrian_Event
EVT_00111,72.1,2,31,10.9,62,21.32,51.6,29.0,15.5,61.4,Heavy_Traffic
EVT_00112,80.4,3,29,31.0,16,15.69,59.0,33.1,66.2,78.8,Incident
EVT_00113,21.4,0,5,56.7,10,4.31,46.7,21.1,41.5,71.0,Low_Activity
EVT_00114,30.6,10,25,43.4,24,9.7,56.0,27.7,73.8,74.6,Free_Flow
EVT_00115,10.6,1,22,34.6,0,2.32,52.9,16.4,32.0,72.9,Low_Activity
EVT_00116,45.3,5,19,17.7,48,15.75,47.7,29.9,55.2,56.7,Incident
EVT_00117,20.4,3,4,27.1,24,4.04,52.9,26.9,34.6,53.0,Low_Activity
EVT_00118,22.9,14,29,27.4,47,9.29,66.0,29.1,76.1,62.6,Pedestrian_Event
EVT_00119,51.2,13,28,20.7,44,15.55,54.8,32.7,63.3,66.1,Incident
EVT_00120,40.3,26,6,18.3,53,7.35,45.8,24.9,39.1,55.9,Pedestrian_Event
EVT_00121,51.7,15,42,20.5,50,20.07,53.3,27.6,18.7,52.6,Heavy_Traffic
EVT_00122,60.6,15,30,12.2,34,16.9,58.7,32.1,44.2,56.8,Incident
EVT_00123,5.2,1,1,51.1,24,22.8,45.9,20.5,21.2,63.4,Low_Activity
EVT_00124,5.9,1,1,13.7,5,0.54,52.4,17.5,23.1,73.1,Free_Flow
EVT_00125,10.6,1,6,55.7,11,23.02,56.2,22.2,28.6,68.6,Low_Activity
EVT_00126,0.0,1,3,29.8,22,14.29,48.1,32.3,81.1,60.7,Low_Activity
EVT_00127,4.6,0,0,49.2,13,2.9,49.4,15.3,13.6,56.5,Low_Activity
EVT_00128,51.6,4,24,19.6,37,22.5,48.8,18.7,27.8,60.8,Incident
EVT_00129,54.2,11,22,27.3,67,5.13,58.3,30.9,24.2,63.5,Pedestrian_Event
EVT_00130,9.4,4,4,62.1,3,21.54,53.7,20.3,25.4,62.2,Low_Activity
EVT_00131,2.3,1,9,42.1,13,1.79,49.3,19.6,27.0,83.7,Low_Activity
EVT_00132,58.4,6,17,23.6,7,7.02,65.4,23.2,24.5,68.3,Incident
EVT_00133,71.1,21,26,18.8,85,9.11,55.2,27.4,57.1,70.4,Heavy_Traffic
EVT_00134,71.3,7,43,23.8,115,9.43,61.9,27.7,57.9,77.9,Heavy_Traffic
EVT_00135,23.7,1,2,25.2,29,22.77,50.1,21.6,0.0,61.7,Free_Flow
EVT_00136,31.6,13,16,64.4,20,11.13,61.1,22.3,75.6,90.6,Free_Flow
EVT_00137,35.7,5,22,32.3,50,10.59,47.4,28.7,83.2,65.0,Incident
EVT_00138,32.7,7,12,50.2,0,9.6,61.0,24.2,68.8,58.2,Free_Flow
EVT_00139,72.8,3,33,15.3,81,9.18,60.2,27.2,74.5,62.1,Heavy_Traffic
EVT_00140,35.8,22,28,57.3,33,9.09,68.5,23.8,48.5,59.8,Pedestrian_Event
EVT_00141,51.6,19,14,24.0,32,14.26,51.7,27.1,55.7,65.5,Pedestrian_Event
EVT_00142,46.5,5,43,14.0,9,10.02,51.9,24.2,93.9,76.2,Free_Flow
EVT_00143,17.8,5,16,25.1,0,12.74,55.8,29.7,84.5,72.8,Free_Flow
EVT_00144,65.1,8,46,26.8,39,17.35,66.4,32.0,39.7,67.6,Heavy_Traffic
EVT_00145,20.9,3,39,53.5,0,14.2,64.2,30.0,62.4,63.3,Heavy_Traffic
EVT_00146,3.0,2,3,39.9,28,6.91,56.6,20.6,29.2,65.5,Low_Activity
EVT_00147,32.1,24,7,45.7,55,9.72,44.8,26.2,98.5,49.2,Pedestrian_Event
EVT_00148,56.6,4,32,15.0,60,9.86,61.5,22.4,64.3,52.7,Heavy_Traffic
EVT_00149,11.6,0,4,16.4,39,23.12,45.3,20.5,13.1,73.3,Low_Activity
EVT_00150,69.2,16,24,4.3,23,12.32,52.5,25.7,95.2,73.2,Heavy_Traffic
EVT_00151,44.5,29,14,12.2,47,18.44,58.3,28.4,33.2,58.3,Pedestrian_Event
EVT_00152,31.1,8,25,38.0,5,18.17,67.4,29.5,33.7,75.2,Free_Flow
EVT_00153,41.9,29,15,23.5,40,12.96,51.5,32.2,90.7,69.2,Free_Flow
EVT_00154,23.3,3,1,43.6,22,22.65,54.3,20.9,15.1,53.1,Low_Activity
EVT_00155,28.3,3,24,48.8,31,14.13,64.9,36.4,82.3,61.0,Free_Flow
EVT_00156,65.2,4,16,10.5,44,8.56,56.7,22.8,59.7,66.8,Incident
EVT_00157,77.6,2,28,12.8,60,1.61,50.8,25.4,25.0,71.8,Incident
EVT_00158,5.7,1,8,10.7,39,10.1,61.2,25.5,66.4,89.0,Low_Activity
EVT_00159,35.0,7,4,21.6,39,6.39,57.3,21.2,38.7,78.9,Free_Flow
EVT_00160,58.2,26,11,41.0,46,15.73,54.2,33.1,53.4,67.6,Pedestrian_Event
EVT_00161,18.9,0,5,39.0,17,22.61,42.2,25.1,24.3,82.4,Low_Activity
EVT_00162,56.1,7,54,8.6,42,10.33,72.1,23.5,68.0,97.2,Heavy_Traffic
EVT_00163,34.1,0,17,44.5,29,11.87,50.9,40.0,82.9,49.3,Free_Flow
EVT_00164,43.8,2,7,60.7,21,10.7,44.2,32.1,72.7,60.6,Free_Flow
EVT_00165,7.2,1,4,40.5,21,3.43,43.8,23.5,3.3,46.3,Low_Activity
EVT_00166,2.7,0,3,32.2,2,4.03,45.3,26.0,34.0,62.2,Low_Activity
EVT_00167,46.4,8,16,34.5,3,7.11,46.8,23.2,48.5,51.8,Heavy_Traffic
EVT_00168,5.9,1,1,45.5,40,1.85,48.2,21.5,31.9,71.1,Low_Activity
EVT_00169,9.4,1,10,52.3,17,23.74,40.9,20.6,31.9,59.2,Low_Activity
EVT_00170,3.6,0,6,57.8,24,3.51,53.7,25.4,23.2,69.8,Free_Flow
EVT_00171,66.3,6,24,21.8,70,7.06,64.3,24.3,50.7,72.8,Heavy_Traffic
EVT_00172,29.7,7,22,48.7,15,10.2,56.7,30.2,89.2,62.8,Free_Flow
EVT_00173,78.6,7,32,23.6,65,7.9,65.0,20.6,53.9,61.6,Heavy_Traffic
EVT_00174,24.2,0,12,36.9,13,1.23,50.9,21.6,9.6,67.0,Low_Activity
EVT_00175,74.2,11,17,14.6,96,17.17,56.4,27.4,63.4,52.6,Heavy_Traffic
EVT_00176,34.3,4,26,43.7,21,13.56,65.9,21.8,87.1,94.4,Free_Flow
EVT_00177,41.9,9,12,61.2,17,12.66,56.5,37.4,77.4,49.0,Free_Flow
EVT_00178,48.2,6,38,23.5,65,18.15,55.6,27.9,63.6,63.0,Heavy_Traffic
EVT_00179,62.6,8,31,22.7,18,19.53,57.2,30.0,0.0,46.4,Heavy_Traffic
EVT_00180,80.1,8,41,15.3,65,17.98,75.8,27.5,19.4,83.7,Heavy_Traffic
EVT_00181,25.8,14,7,3.7,10,15.52,40.2,27.2,69.3,83.1,Pedestrian_Event
EVT_00182,28.5,3,17,40.5,30,5.17,54.5,20.2,21.1,82.5,Free_Flow
EVT_00183,44.8,15,9,20.0,36,7.58,48.5,24.8,47.0,75.5,Pedestrian_Event
EVT_00184,14.5,6,29,12.2,41,4.73,45.6,24.9,23.6,74.8,Incident
EVT_00185,46.2,16,28,15.5,37,12.46,55.4,36.8,85.8,68.8,Pedestrian_Event
EVT_00186,52.9,7,12,22.4,69,15.93,44.5,34.7,55.7,36.4,Heavy_Traffic
EVT_00187,9.3,0,5,61.8,3,22.34,48.7,24.5,1.8,57.6,Low_Activity
EVT_00188,19.3,8,20,39.4,19,9.06,46.7,30.0,79.5,67.4,Free_Flow
EVT_00189,85.9,5,15,0.5,90,16.15,50.4,31.2,53.9,60.2,Heavy_Traffic
EVT_00190,46.2,2,24,36.6,12,21.02,57.0,28.4,9.3,71.5,Free_Flow
EVT_00191,10.9,0,1,61.6,23,22.94,53.2,22.5,28.7,64.2,Low_Activity
EVT_00192,24.6,3,14,43.1,9,10.43,54.6,23.4,73.0,59.3,Free_Flow
EVT_00193,21.5,3,18,61.4,13,21.38,49.6,26.1,12.3,54.8,Free_Flow
EVT_00194,3.4,0,3,90.0,21,3.96,58.1,21.1,35.5,78.8,Low_Activity
EVT_00195,28.1,3,7,25.8,31,7.69,48.0,26.0,41.6,57.2,Free_Flow
EVT_00196,35.6,7,17,39.0,11,18.38,64.6,25.4,38.0,87.5,Free_Flow
EVT_00197,40.8,5,31,56.8,27,16.05,66.3,27.8,37.3,76.5,Free_Flow
EVT_00198,43.9,6,30,33.3,108,7.64,54.4,25.2,50.7,82.3,Free_Flow
EVT_00199,11.8,2,4,43.3,0,23.69,48.7,29.3,25.8,53.8,Low_Activity
EVT_00200,33.5,1,26,45.6,40,6.18,55.2,25.3,29.7,64.2,Free_Flow
EVT_00201,14.5,1,4,57.3,23,7.58,51.1,23.1,62.3,72.5,Low_Activity
EVT_00202,42.5,9,53,6.1,24,16.67,64.9,34.9,52.3,44.9,Heavy_Traffic
EVT_00203,24.2,19,8,34.3,41,14.91,54.1,27.3,81.6,82.0,Pedestrian_Event
EVT_00204,13.3,2,6,65.4,0,3.44,56.2,20.0,18.5,62.2,Low_Activity
EVT_00205,75.2,5,23,8.8,81,8.11,54.7,19.9,52.6,74.1,Heavy_Traffic
EVT_00206,11.9,4,16,11.8,55,18.45,53.7,29.4,21.1,48.8,Incident
EVT_00207,45.6,3,44,16.2,76,7.22,62.6,24.7,34.3,53.7,Heavy_Traffic
EVT_00208,45.7,12,39,36.9,56,8.64,65.1,23.3,63.2,64.1,Pedestrian_Event
EVT_00209,15.9,1,13,51.8,15,10.24,59.0,27.1,76.1,53.9,Low_Activity
EVT_00210,64.7,10,42,20.2,57,17.37,64.9,38.8,50.2,65.6,Heavy_Traffic
EVT_00211,0.0,2,21,43.4,24,21.77,52.9,26.7,24.2,57.4,Low_Activity
EVT_00212,27.1,5,17,16.2,73,14.38,56.0,28.2,70.7,79.7,Pedestrian_Event
EVT_00213,66.3,7,48,22.3,129,17.78,62.6,30.1,48.8,56.8,Heavy_Traffic
EVT_00214,14.3,11,13,56.6,28,16.13,46.6,26.2,57.0,56.2,Free_Flow
EVT_00215,11.2,1,2,70.7,25,23.74,52.9,26.7,16.9,65.2,Low_Activity
EVT_00216,31.4,3,28,56.4,18,18.82,56.8,30.4,7.3,56.3,Free_Flow
EVT_00217,67.9,2,31,20.9,14,0.89,46.8,24.6,15.7,83.0,Incident
EVT_00218,61.9,6,19,11.1,87,8.27,60.7,18.4,54.2,74.4,Heavy_Traffic
EVT_00219,60.3,6,22,26.6,74,20.67,64.9,25.0,20.3,81.6,Incident
EVT_00220,66.8,10,54,12.3,68,17.87,74.3,28.6,33.4,84.3,Heavy_Traffic
EVT_00221,22.3,3,18,49.8,31,10.34,59.7,21.6,83.3,56.0,Free_Flow
EVT_00222,48.3,3,3,19.6,83,1.59,44.9,22.4,17.8,66.8,Heavy_Traffic
EVT_00223,0.0,5,15,51.5,24,11.74,51.7,24.4,99.3,69.8,Free_Flow
EVT_00224,59.4,3,8,8.8,24,7.83,52.1,22.9,50.9,100.0,Incident
EVT_00225,29.1,1,3,56.7,12,23.03,56.3,20.1,6.8,73.2,Low_Activity
EVT_00226,48.0,36,12,27.1,49,12.25,57.2,25.7,70.1,64.1,Pedestrian_Event
EVT_00227,25.6,11,0,30.0,15,16.35,51.9,37.3,58.3,51.1,Pedestrian_Event
EVT_00228,24.0,5,14,34.0,17,6.69,60.2,18.5,52.9,90.1,Low_Activity
EVT_00229,40.8,4,15,28.0,33,13.53,56.9,31.0,56.3,51.0,Free_Flow
EVT_00230,10.4,3,4,25.1,24,7.37,54.6,21.1,63.9,85.8,Low_Activity
EVT_00231,54.9,6,54,19.5,21,7.76,65.8,30.1,49.2,58.2,Heavy_Traffic
EVT_00232,78.8,7,16,15.4,33,18.54,61.9,28.4,23.5,84.1,Incident
EVT_00233,40.1,2,25,23.5,22,20.93,53.9,30.2,33.8,78.3,Incident
EVT_00234,31.2,11,24,31.2,28,19.03,53.7,31.2,30.7,74.2,Free_Flow
EVT_00235,42.2,6,26,8.7,77,5.41,61.8,20.4,4.1,77.2,Free_Flow
EVT_00236,58.7,2,32,18.0,64,20.83,48.0,27.3,33.8,55.3,Pedestrian_Event
EVT_00237,35.8,12,22,44.1,16,15.89,52.3,28.1,67.9,74.0,Free_Flow
EVT_00238,65.1,3,20,8.4,12,21.42,60.2,29.4,8.7,51.2,Incident
EVT_00239,42.0,12,14,44.5,36,17.35,51.8,34.4,64.0,65.5,Pedestrian_Event
EVT_00240,19.2,0,1,49.0,29,1.32,55.7,21.1,37.8,82.8,Low_Activity
EVT_00241,26.3,4,18,46.4,5,9.94,58.4,35.7,81.1,76.1,Free_Flow
EVT_00242,26.7,9,15,36.5,23,11.27,54.6,31.8,100.0,67.6,Free_Flow
EVT_00243,72.0,10,28,11.6,90,9.77,58.8,31.1,68.8,46.4,Heavy_Traffic
EVT_00244,12.5,1,9,36.1,13,2.38,46.3,22.6,8.9,74.9,Low_Activity
EVT_00245,73.1,3,16,4.7,50,7.01,52.4,21.1,45.6,65.0,Heavy_Traffic
EVT_00246,12.5,1,7,45.1,13,1.65,48.2,25.7,12.2,67.0,Low_Activity
EVT_00247,28.7,6,6,44.9,13,15.28,48.0,31.8,48.9,53.0,Free_Flow
EVT_00248,26.8,4,57,37.1,35,20.09,66.4,21.7,12.9,80.3,Heavy_Traffic
EVT_00249,2.1,2,3,52.0,8,11.68,58.1,26.3,66.9,83.6,Low_Activity
EVT_00250,18.6,10,18,35.4,45,11.07,59.7,28.5,64.6,64.2,Free_Flow
EVT_00251,57.9,3,43,20.5,38,23.7,67.1,21.1,35.2,63.5,Free_Flow
EVT_00252,71.5,10,22,6.1,11,11.86,56.9,28.5,73.8,64.3,Incident
EVT_00253,64.1,19,24,21.2,0,8.68,48.6,24.7,71.9,66.6,Heavy_Traffic
EVT_00254,36.8,0,18,32.8,0,17.46,61.3,36.7,27.5,62.3,Pedestrian_Event
EVT_00255,27.4,3,29,44.8,35,7.29,65.6,22.9,31.8,63.1,Free_Flow
EVT_00256,29.4,5,15,45.6,20,12.08,56.2,25.7,65.9,60.7,Free_Flow
EVT_00257,64.3,9,33,10.7,49,20.13,50.1,24.4,4.6,70.9,Incident
EVT_00258,46.0,22,0,17.8,66,16.58,56.3,33.9,71.9,81.5,Pedestrian_Event
EVT_00259,61.4,24,19,30.7,71,18.47,67.8,32.8,43.3,63.1,Pedestrian_Event
EVT_00260,0.3,1,12,52.5,21,4.21,53.2,15.3,15.6,70.0,Low_Activity
EVT_00261,87.6,2,43,17.8,62,21.3,52.2,22.8,5.8,74.4,Heavy_Traffic
EVT_00262,37.5,4,19,55.0,14,14.69,57.6,35.1,79.2,52.4,Free_Flow
EVT_00263,33.0,5,36,26.9,84,20.07,57.3,25.2,19.5,71.5,Heavy_Traffic
EVT_00264,2.8,0,11,48.9,15,1.25,51.7,19.7,11.5,61.2,Low_Activity
EVT_00265,46.0,2,71,20.9,48,17.84,68.8,33.4,31.6,62.9,Heavy_Traffic
EVT_00266,66.3,4,30,19.8,58,18.63,55.9,34.1,30.2,75.2,Heavy_Traffic
EVT_00267,57.7,8,43,9.3,83,7.93,65.9,23.9,44.3,70.4,Heavy_Traffic
EVT_00268,26.4,4,5,26.8,11,5.64,49.8,24.9,33.7,60.8,Free_Flow
EVT_00269,11.2,0,6,31.5,31,4.56,41.7,25.0,15.4,72.1,Low_Activity
EVT_00270,72.7,6,42,5.8,94,9.3,52.1,28.3,84.9,57.6,Heavy_Traffic
EVT_00271,68.4,3,36,18.1,69,7.39,55.6,22.8,64.3,57.5,Incident
EVT_00272,52.6,33,9,42.1,70,9.01,50.4,22.5,65.9,75.4,Pedestrian_Event
EVT_00273,28.5,4,7,51.3,8,6.09,43.9,20.3,23.4,62.6,Free_Flow
EVT_00274,26.1,4,19,17.9,15,13.91,53.4,28.5,72.7,64.3,Pedestrian_Event
EVT_00275,14.2,5,11,48.2,41,11.65,49.5,39.1,60.6,57.2,Free_Flow
EVT_00276,69.1,7,32,7.4,41,7.89,63.9,27.0,28.7,54.5,Heavy_Traffic
EVT_00277,45.2,0,19,57.7,7,22.53,52.6,28.8,12.9,58.8,Free_Flow
EVT_00278,68.8,7,37,23.8,86,16.23,60.8,21.0,61.0,61.7,Heavy_Traffic
EVT_00279,34.5,2,15,23.4,38,20.58,59.3,26.2,30.6,77.6,Heavy_Traffic
EVT_00280,49.6,2,21,38.2,17,13.57,48.9,36.4,84.1,59.8,Free_Flow
EVT_00281,77.0,8,38,13.9,71,17.79,61.3,25.8,31.8,73.5,Heavy_Traffic
EVT_00282,29.7,0,17,41.9,21,5.52,57.9,25.5,28.2,58.8,Free_Flow
